hostname,acl-name,acl-type,seq number,action,protocol,source,destination,ports
uk-cwk-cs01,IPTV-GROUPS,Standard,10,permit,,239.0.0.0 0.255.255.255,,,
uk-cwk-cs01,solarwinds-new,Standard,10,permit,,10.112.12.126,,,
uk-cwk-cs01,solarwinds-new,Standard,20,permit,,10.112.12.125,,,
uk-cwk-cs01,solarwinds-new,Standard,30,permit,,10.120.163.143,,,
uk-cwk-cs01,solarwinds-new,Standard,40,permit,,10.120.163.142,,,
uk-cwk-cs01,solarwinds-new,Standard,50,permit,,10.120.163.123,,,
uk-cwk-cs01,solarwinds-new,Standard,60,permit,,10.120.163.122,,,
uk-cwk-cs01,solarwinds-new,Standard,70,permit,,10.112.12.144,,,
uk-cwk-cs01,solarwinds-new,Standard,80,permit,,10.112.12.142,,,
uk-cwk-cs01,solarwinds-new,Standard,90,permit,,10.112.12.143,,,
uk-cwk-cs01,solarwinds-new,Standard,100,deny,,any log,,,
uk-cwk-cs01,ANM-MGMT-SVR,Extended,10,permit,ip,10.1.82.64 0.0.0.31,host 10.1.90.20,
uk-cwk-cs01,ANM-MGMT-SVR,Extended,20,deny,ip,any,any,
uk-cwk-cs01,FROM-CWK-TESTWIFI,Extended,10,permit,udp,any,host 255.255.255.255,bootps
uk-cwk-cs01,FROM-CWK-TESTWIFI,Extended,20,permit,udp,any,any,bootps
uk-cwk-cs01,FROM-CWK-TESTWIFI,Extended,30,permit,udp,10.1.228.0 0.0.0.255,host 10.210.193.235,domain
uk-cwk-cs01,FROM-CWK-TESTWIFI,Extended,40,permit,udp,10.1.228.0 0.0.0.255,host 10.210.193.235,bootps
uk-cwk-cs01,FROM-CWK-TESTWIFI,Extended,50,permit,udp,10.1.228.0 0.0.0.255,host 10.210.193.236,domain
uk-cwk-cs01,FROM-CWK-TESTWIFI,Extended,60,permit,udp,10.1.228.0 0.0.0.255,host 10.210.193.236,bootps
uk-cwk-cs01,FROM-CWK-TESTWIFI,Extended,70,permit,udp,10.1.228.0 0.0.0.255,host 10.120.193.235,domain
uk-cwk-cs01,FROM-CWK-TESTWIFI,Extended,80,permit,udp,10.1.228.0 0.0.0.255,host 10.120.193.235,bootps
uk-cwk-cs01,FROM-CWK-TESTWIFI,Extended,90,permit,udp,10.1.228.0 0.0.0.255,host 10.120.193.236,domain
uk-cwk-cs01,FROM-CWK-TESTWIFI,Extended,100,permit,udp,10.1.228.0 0.0.0.255,host 10.120.193.236,bootps
uk-cwk-cs01,FROM-CWK-TESTWIFI,Extended,110,permit,udp,10.1.228.0 0.0.0.255,host 10.120.193.238,domain
uk-cwk-cs01,FROM-CWK-TESTWIFI,Extended,120,permit,udp,10.1.228.0 0.0.0.255,host 10.120.193.239,domain
uk-cwk-cs01,FROM-CWK-TESTWIFI,Extended,130,permit,tcp,10.1.228.0 0.0.0.255,host 192.168.9.102,8080
uk-cwk-cs01,FROM-CWK-TESTWIFI,Extended,140,permit,udp,10.1.228.0 0.0.0.255,host 192.168.9.102,isakmp
uk-cwk-cs01,FROM-CWK-TESTWIFI,Extended,150,permit,udp,10.1.228.0 0.0.0.255,host 192.168.9.102,non500-isakmp
uk-cwk-cs01,FROM-CWK-TESTWIFI,Extended,160,permit,ip,10.1.228.0 0.0.0.255,host 141.138.129.40,
uk-cwk-cs01,FROM-CWK-TESTWIFI,Extended,170,permit,ip,10.1.228.0 0.0.0.255,host 95.131.184.37,
uk-cwk-cs01,FROM-CWK-TESTWIFI,Extended,180,permit,ip,10.1.228.0 0.0.0.255,122.0.0 0.0.255.255,
uk-cwk-cs01,FROM-CWK-TESTWIFI,Extended,190,permit,tcp,10.1.228.0 0.0.0.255,0.1.28.0 0.0.1.255,www
uk-cwk-cs01,FROM-CWK-TESTWIFI,Extended,200,permit,tcp,10.1.228.0 0.0.0.255,0.1.28.0 0.0.1.255,443
uk-cwk-cs01,FROM-CWK-TESTWIFI,Extended,210,permit,tcp,10.1.228.0 0.0.0.255,211.36.0 0.0.1.255,www
uk-cwk-cs01,FROM-CWK-TESTWIFI,Extended,220,permit,tcp,10.1.228.0 0.0.0.255,211.36.0 0.0.1.255,443
uk-cwk-cs01,FROM-CWK-TESTWIFI,Extended,230,permit,tcp,10.1.228.0 0.0.0.255,212.36.0 0.0.1.255,www
uk-cwk-cs01,FROM-CWK-TESTWIFI,Extended,240,permit,tcp,10.1.228.0 0.0.0.255,212.36.0 0.0.1.255,443
uk-cwk-cs01,FROM-CWK-TESTWIFI,Extended,250,permit,tcp,10.1.228.0 0.0.0.255,213.36.0 0.0.1.255,www
uk-cwk-cs01,FROM-CWK-TESTWIFI,Extended,260,permit,tcp,10.1.228.0 0.0.0.255,213.36.0 0.0.1.255,443
uk-cwk-cs01,FROM-CWK-TESTWIFI,Extended,270,permit,tcp,10.1.228.0 0.0.0.255,214.36.0 0.0.1.255,www
uk-cwk-cs01,FROM-CWK-TESTWIFI,Extended,280,permit,tcp,10.1.228.0 0.0.0.255,214.36.0 0.0.1.255,443
