hostname,acl-name,acl-type,seq number,action,protocol,source,destination,ports
us-da1-rr01,solarwinds-new,Standard,10,permit,,10.112.12.126,,,
us-da1-rr01,solarwinds-new,Standard,20,permit,,10.112.12.125,,,
us-da1-rr01,solarwinds-new,Standard,30,permit,,10.120.163.143,,,
us-da1-rr01,solarwinds-new,Standard,40,permit,,10.120.163.142,,,
us-da1-rr01,solarwinds-new,Standard,50,permit,,10.120.163.123,,,
us-da1-rr01,solarwinds-new,Standard,60,permit,,10.120.163.122,,,
us-da1-rr01,solarwinds-new,Standard,70,permit,,10.112.12.144,,,
us-da1-rr01,solarwinds-new,Standard,80,permit,,10.112.12.142,,,
us-da1-rr01,solarwinds-new,Standard,90,permit,,10.112.12.143,,,
us-da1-rr01,solarwinds-new,Standard,100,deny,,any log,,,
us-da1-rr01,1,Standard,10,permit,,10.120.163.210,,,
us-da1-rr01,1,Standard,20,permit,,10.1.74.66,,,
us-da1-rr01,1,Standard,30,permit,,10.180.163.18,,,
us-da1-rr01,1,Standard,40,permit,,10.210.163.60,,,
us-da1-rr01,1,Standard,50,permit,,10.1.74.29,,,
us-da1-rr01,1,Standard,60,permit,,10.112.13.17,,,
us-da1-rr01,1,Standard,70,permit,,10.1.74.48,,,
us-da1-rr01,1,Standard,80,permit,,10.1.74.57,,,
us-da1-rr01,1,Standard,90,permit,,10.1.74.61,,,
us-da1-rr01,1,Standard,100,permit,,10.120.195.31,,,
us-da1-rr01,1,Standard,110,permit,,10.120.143.70,,,
us-da1-rr01,1,Standard,120,permit,,10.1.74.128,,,
us-da1-rr01,1,Standard,130,permit,,10.180.142.230,,,
us-da1-rr01,1,Standard,140,permit,,10.120.163.37,,,
us-da1-rr01,1,Standard,150,permit,,10.1.82.64 0.0.0.31,,,
us-da1-rr01,1,Standard,160,permit,,10.1.22.0 0.0.0.255,,,
us-da1-rr01,1,Standard,170,permit,,192.168.2.0 0.0.1.255,,,
us-da1-rr01,1,Standard,180,permit,,10.210.141.40 0.0.0.7,,,
us-da1-rr01,1,Standard,190,permit,,10.180.141.40 0.0.0.7,,,
us-da1-rr01,1,Standard,200,permit,,10.120.141.40 0.0.0.7,,,
us-da1-rr01,1,Standard,210,deny,,any log,,,
us-da1-rr01,10,Standard,60,permit,,10.112.12.126,,,
us-da1-rr01,10,Standard,70,permit,,10.112.12.125,,,
us-da1-rr01,10,Standard,10,permit,,10.120.163.71,,,
us-da1-rr01,10,Standard,40,permit,,10.120.163.123,,,
us-da1-rr01,10,Standard,50,permit,,10.120.163.122,,,
us-da1-rr01,10,Standard,20,permit,,10.120.163.59,,,
us-da1-rr01,10,Standard,30,permit,,10.110.163.59,,,
us-da1-rr01,10,Standard,80,deny,,any log,,,
us-da1-rr01,11,Standard,10,permit,,10.120.136.140,,,
us-da1-rr01,11,Standard,20,permit,,10.50.3.140,,,
us-da1-rr01,11,Standard,30,deny,,any log,,,
us-da1-rr01,12,Standard,10,permit,,10.220.163.112,,,
us-da1-rr01,12,Standard,20,permit,,10.220.163.111,,,
us-da1-rr01,12,Standard,30,permit,,10.180.163.112,,,
us-da1-rr01,12,Standard,40,permit,,10.180.163.111,,,
us-da1-rr01,12,Standard,50,permit,,10.220.163.247,,,
us-da1-rr01,12,Standard,60,permit,,10.210.163.247,,,
us-da1-rr01,12,Standard,70,permit,,10.120.163.112,,,
us-da1-rr01,12,Standard,80,permit,,10.110.163.111,,,
us-da1-rr01,12,Standard,90,permit,,10.110.163.112,,,
us-da1-rr01,12,Standard,100,permit,,10.120.163.111,,,
us-da1-rr01,12,Standard,110,permit,,10.180.163.247,,,
us-da1-rr01,12,Standard,120,permit,,10.120.163.61,,,
us-da1-rr01,12,Standard,130,permit,,10.120.163.62,,,
us-da1-rr01,12,Standard,140,permit,,10.1.14.0 0.0.0.255,,,
us-da1-rr01,12,Standard,150,deny,,any log,,,
us-da1-rr01,16,Standard,10,permit,,10.120.163.206,,,
us-da1-rr01,22,Standard,10,permit,,10.112.12.119,,,
us-da1-rr01,22,Standard,20,permit,,10.210.143.80,,,
us-da1-rr01,22,Standard,30,permit,,10.120.143.80,,,
us-da1-rr01,22,Standard,40,permit,,10.180.142.232,,,
