admin-state,description,interface,ip-add,mac-address,nameif,netmask,security-level
up,,Port-channel1.122,10.114.38.1,0200.0101.0101,cde-backoffice,255.255.255.0,100
up,,Port-channel1.199,10.114.63.225,0200.0101.0101,hdr-perftest-tier,255.255.255.224,100
up,,Port-channel1.155,10.114.48.161,0200.0101.0101,crypto-tier,255.255.255.224,100
up,,Port-channel1.163,10.114.53.1,0200.0101.0101,performancedb-tier,255.255.255.0,100
up,,Port-channel1.162,10.114.52.1,0200.0101.0101,database-tier,255.255.255.0,100
up,,Port-channel1.161,10.114.51.1,0200.0101.0101,authpro-tier,255.255.255.0,100
up,,Port-channel1.134,10.114.44.1,0200.0101.0101,int-lb,255.255.254.0,100
up,,Port-channel1.153,10.114.48.97,0200.0101.0101,sftp-tier,255.255.255.224,100
up,,Port-channel1.114,10.114.33.129,0200.0101.0101,citrix,255.255.255.224,0
up,,Port-channel1.115,10.114.33.161,0200.0101.0101,mailhosts,255.255.255.224,100
up,,Port-channel1.120,10.114.36.1,0200.0101.0101,cde-web-tier,255.255.255.0,100
up,,Port-channel1.421,10.114.166.129,0200.0101.0101,cag,255.255.255.128,100
up,,Port-channel1.154,10.114.48.129,0200.0101.0101,hdr-tier,255.255.255.224,100
up,,Port-channel1.150,10.114.48.1,0200.0101.0101,proxy-tier,255.255.255.224,100
up,,Port-channel1.121,10.114.37.1,0200.0101.0101,cde-cms-tier,255.255.255.0,100
up,,Port-channel1.371,10.114.160.36,0200.0101.0101,internal-vrf,255.255.255.224,100
up,,Port-channel1.160,10.114.50.1,0200.0101.0101,application-tier,255.255.255.0,100
