hostname,acl-name,acl-type,seq number,action,protocol,source,destination,ports
uk-brs-er01,solarwinds-new,Standard,10,permit,,10.112.12.126,,,
uk-brs-er01,solarwinds-new,Standard,20,permit,,10.112.12.125,,,
uk-brs-er01,solarwinds-new,Standard,30,permit,,10.120.163.143,,,
uk-brs-er01,solarwinds-new,Standard,40,permit,,10.120.163.142,,,
uk-brs-er01,solarwinds-new,Standard,50,permit,,10.120.163.123,,,
uk-brs-er01,solarwinds-new,Standard,60,permit,,10.120.163.122,,,
uk-brs-er01,solarwinds-new,Standard,70,permit,,10.112.12.144,,,
uk-brs-er01,solarwinds-new,Standard,80,permit,,10.112.12.142,,,
uk-brs-er01,solarwinds-new,Standard,90,permit,,10.112.12.143,,,
uk-brs-er01,solarwinds-new,Standard,100,deny,,any log,,,
uk-brs-er01,acl-copp-match-igmp,Extended,10,permit,igmp,any,any,
uk-brs-er01,acl-copp-match-pim-data,Extended,10,deny,pim,any,host 224.0.0.13,
uk-brs-er01,acl-copp-match-pim-data,Extended,20,permit,pim,any,any,
uk-brs-er01,acl-ipv4-filtering-default-edge_protect-in,Extended,10,deny,ip,0.0.0.0 0.255.255.255,any,
uk-brs-er01,acl-ipv4-filtering-default-edge_protect-in,Extended,20,deny,ip,10.0.0.0 0.255.255.255,any,
uk-brs-er01,acl-ipv4-filtering-default-edge_protect-in,Extended,30,deny,ip,100.64.0.0 0.63.255.255,any,
uk-brs-er01,acl-ipv4-filtering-default-edge_protect-in,Extended,40,deny,ip,127.0.0.0 0.255.255.255,any,
uk-brs-er01,acl-ipv4-filtering-default-edge_protect-in,Extended,50,deny,ip,169.254.0.0 0.0.255.255,any,
uk-brs-er01,acl-ipv4-filtering-default-edge_protect-in,Extended,60,deny,ip,172.16.0.0 0.0.255.255,any,
uk-brs-er01,acl-ipv4-filtering-default-edge_protect-in,Extended,70,deny,ip,192.0.0.0 0.0.0.255,any,
uk-brs-er01,acl-ipv4-filtering-default-edge_protect-in,Extended,80,deny,ip,192.0.0.0 0.0.0.7,any,
uk-brs-er01,acl-ipv4-filtering-default-edge_protect-in,Extended,90,deny,ip,host 192.0.0.8,any,
uk-brs-er01,acl-ipv4-filtering-default-edge_protect-in,Extended,100,deny,ip,host 192.0.0.9,any,
uk-brs-er01,acl-ipv4-filtering-default-edge_protect-in,Extended,110,deny,ip,host 192.0.0.10,any,
uk-brs-er01,acl-ipv4-filtering-default-edge_protect-in,Extended,120,deny,ip,host 192.0.0.170,any,
uk-brs-er01,acl-ipv4-filtering-default-edge_protect-in,Extended,130,deny,ip,192.0.2.0 0.0.0.255,any,
uk-brs-er01,acl-ipv4-filtering-default-edge_protect-in,Extended,140,deny,ip,192.31.196.0 0.0.0.255,any,
uk-brs-er01,acl-ipv4-filtering-default-edge_protect-in,Extended,150,deny,ip,192.52.193.0 0.0.0.255,any,
uk-brs-er01,acl-ipv4-filtering-default-edge_protect-in,Extended,160,deny,ip,192.88.99.0 0.0.0.255,any,
uk-brs-er01,acl-ipv4-filtering-default-edge_protect-in,Extended,170,deny,ip,192.168.0.0 0.0.255.255,any,
uk-brs-er01,acl-ipv4-filtering-default-edge_protect-in,Extended,180,deny,ip,192.175.48.0 0.0.0.255,any,
uk-brs-er01,acl-ipv4-filtering-default-edge_protect-in,Extended,190,deny,ip,198.18.0.0 0.1.255.255,any,
uk-brs-er01,acl-ipv4-filtering-default-edge_protect-in,Extended,200,deny,ip,198.51.100.0 0.0.0.255,any,
uk-brs-er01,acl-ipv4-filtering-default-edge_protect-in,Extended,210,deny,ip,203.0.113.0 0.0.0.255,any,
uk-brs-er01,acl-ipv4-filtering-default-edge_protect-in,Extended,220,deny,ip,240.0.0.0 15.255.255.255,any,
uk-brs-er01,acl-ipv4-filtering-default-edge_protect-in,Extended,230,deny,tcp,any,8.128.0 0.0.7.255,www
uk-brs-er01,acl-ipv4-filtering-default-edge_protect-in,Extended,240,deny,tcp,any,9.152.0 0.0.3.255,www
uk-brs-er01,acl-ipv4-filtering-default-edge_protect-in,Extended,250,deny,udp,any,8.128.0 0.0.7.255,
uk-brs-er01,acl-ipv4-filtering-default-edge_protect-in,Extended,260,deny,udp,any,9.152.0 0.0.3.255,
uk-brs-er01,acl-ipv4-filtering-default-edge_protect-in,Extended,270,deny,ip,71.6.128.0 0.0.63.255,any,
uk-brs-er01,acl-ipv4-filtering-default-edge_protect-in,Extended,280,deny,ip,any,host 95.131.186.32,
uk-brs-er01,acl-ipv4-filtering-default-edge_protect-in,Extended,290,deny,ip,any,host 141.138.130.12,
uk-brs-er01,acl-ipv4-filtering-default-edge_protect-in,Extended,300,deny,tcp,any,8.128.0 0.0.7.255,bgp
uk-brs-er01,acl-ipv4-filtering-default-edge_protect-in,Extended,310,deny,tcp,any,9.152.0 0.0.3.255,bgp
uk-brs-er01,acl-ipv4-filtering-default-edge_protect-in,Extended,320,permit,tcp,any,any,bgp
uk-brs-er01,acl-ipv4-filtering-default-edge_protect-in,Extended,330,deny,gre,any,8.128.0 0.0.7.255,
uk-brs-er01,acl-ipv4-filtering-default-edge_protect-in,Extended,340,deny,gre,any,9.152.0 0.0.3.255,
uk-brs-er01,acl-ipv4-filtering-default-edge_protect-in,Extended,350,permit,gre,any,any,
uk-brs-er01,acl-ipv4-filtering-default-edge_protect-in,Extended,360,permit,icmp,any,8.128.0 0.0.7.255,
uk-brs-er01,acl-ipv4-filtering-default-edge_protect-in,Extended,370,permit,icmp,any,8.128.0 0.0.7.255,
uk-brs-er01,acl-ipv4-filtering-default-edge_protect-in,Extended,380,permit,icmp,any,8.128.0 0.0.7.255,
uk-brs-er01,acl-ipv4-filtering-default-edge_protect-in,Extended,390,permit,icmp,any,8.128.0 0.0.7.255,
uk-brs-er01,acl-ipv4-filtering-default-edge_protect-in,Extended,400,permit,icmp,any,8.128.0 0.0.7.255,
