hostname,name,type,seq number,remark,action,src_service_obj,src_service_obj_grp,protocol,src_host,src_network_obj,src_network_obj_grp,src_network,dest_host,dest_network_obj,dest_network_obj_grp,dest_network,dest_port,dest_port_obj_grp,dest_port_range,logging_level,logging_interval,status
uk-sc1-fw01-sec,app-top_access_in,extended,1,CHG0115229,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,app-top_access_in,extended,2,,deny,,,ip,,,Corp-WiFi-Subnets,,,,,any,,,,informational,300,inactive
uk-sc1-fw01-sec,app-top_access_in,extended,3,CHG0015737,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,app-top_access_in,extended,4,,permit,,,tcp,,,DM_INLINE_NETWORK_3,,,,DM_INLINE_NETWORK_5,,21299,,,notifications,300,active
uk-sc1-fw01-sec,app-top_access_in,extended,5,CHG0019020,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,app-top_access_in,extended,6,,permit,,,tcp,,,DM_INLINE_NETWORK_10,,,,sc1wnprrpl,,21299,,,notifications,300,active
uk-sc1-fw01-sec,app-top_access_in,extended,7,CHG0019070,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,app-top_access_in,extended,8,,permit,,,tcp,,,DM_INLINE_NETWORK_11,,,,sc1wnprrbk,,21299,,,notifications,300,active
uk-sc1-fw01-sec,app-top_access_in,extended,9,CHG0019513,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,app-top_access_in,extended,10,,permit,,,tcp,,,DM_INLINE_NETWORK_17,,10.100.4.219,,,,1433,,,notifications,300,active
uk-sc1-fw01-sec,app-top_access_in,extended,11,CHG0059717,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,app-top_access_in,extended,12,,permit,,,tcp,,,DM_INLINE_NETWORK_33,,,,wily-production-onshore,,5001,,,informational,300,active
uk-sc1-fw01-sec,app-top_access_in,extended,13,CHG0021002,,,,,,,,,,,,,,,,,,
