hostname,acl-name,acl-type,seq number,action,protocol,source,destination,ports
pl-krk-cs01,solarwinds-new,Standard,10,permit,,10.112.12.126,,,
pl-krk-cs01,solarwinds-new,Standard,20,permit,,10.112.12.125,,,
pl-krk-cs01,solarwinds-new,Standard,30,permit,,10.120.163.143,,,
pl-krk-cs01,solarwinds-new,Standard,40,permit,,10.120.163.142,,,
pl-krk-cs01,solarwinds-new,Standard,50,permit,,10.120.163.123,,,
pl-krk-cs01,solarwinds-new,Standard,60,permit,,10.120.163.122,,,
pl-krk-cs01,solarwinds-new,Standard,70,permit,,10.112.12.144,,,
pl-krk-cs01,solarwinds-new,Standard,80,permit,,10.112.12.142,,,
pl-krk-cs01,solarwinds-new,Standard,90,permit,,10.112.12.143,,,
pl-krk-cs01,solarwinds-new,Standard,100,deny,,any log,,,
pl-krk-cs01,AutoQos-4.0-ACL-Bulk-Data,Extended,10,permit,tcp,any,any,ftp
pl-krk-cs01,AutoQos-4.0-ACL-Bulk-Data,Extended,20,permit,tcp,any,any,ftp-data
pl-krk-cs01,AutoQos-4.0-ACL-Bulk-Data,Extended,30,permit,tcp,any,any,22
pl-krk-cs01,AutoQos-4.0-ACL-Bulk-Data,Extended,40,permit,tcp,any,any,smtp
pl-krk-cs01,AutoQos-4.0-ACL-Bulk-Data,Extended,50,permit,tcp,any,any,465
pl-krk-cs01,AutoQos-4.0-ACL-Bulk-Data,Extended,60,permit,tcp,any,any,143
pl-krk-cs01,AutoQos-4.0-ACL-Bulk-Data,Extended,70,permit,tcp,any,any,993
pl-krk-cs01,AutoQos-4.0-ACL-Bulk-Data,Extended,80,permit,tcp,any,any,pop3
pl-krk-cs01,AutoQos-4.0-ACL-Bulk-Data,Extended,90,permit,tcp,any,any,995
pl-krk-cs01,AutoQos-4.0-ACL-Bulk-Data,Extended,100,permit,tcp,any,any,1914
pl-krk-cs01,AutoQos-4.0-ACL-Default,Extended,10,permit,ip,any,any,
pl-krk-cs01,AutoQos-4.0-ACL-Multimedia-Conf,Extended,10,permit,udp,any,any,
pl-krk-cs01,AutoQos-4.0-ACL-Scavenger,Extended,10,permit,tcp,any,any,1214
pl-krk-cs01,AutoQos-4.0-ACL-Scavenger,Extended,20,permit,udp,any,any,1214
pl-krk-cs01,AutoQos-4.0-ACL-Scavenger,Extended,30,permit,tcp,any,any,
pl-krk-cs01,AutoQos-4.0-ACL-Scavenger,Extended,40,permit,udp,any,any,
pl-krk-cs01,AutoQos-4.0-ACL-Scavenger,Extended,50,permit,tcp,any,any,3689
pl-krk-cs01,AutoQos-4.0-ACL-Scavenger,Extended,60,permit,udp,any,any,3689
pl-krk-cs01,AutoQos-4.0-ACL-Scavenger,Extended,70,permit,tcp,any,any,
pl-krk-cs01,AutoQos-4.0-ACL-Scavenger,Extended,80,permit,tcp,any,any,11999
pl-krk-cs01,AutoQos-4.0-ACL-Scavenger,Extended,90,permit,tcp,any,any,
pl-krk-cs01,AutoQos-4.0-ACL-Signaling,Extended,10,permit,tcp,any,any,
pl-krk-cs01,AutoQos-4.0-ACL-Signaling,Extended,20,permit,tcp,any,any,
pl-krk-cs01,AutoQos-4.0-ACL-Signaling,Extended,30,permit,udp,any,any,
pl-krk-cs01,AutoQos-4.0-ACL-Transactional-Data,Extended,10,permit,tcp,any,any,443
pl-krk-cs01,AutoQos-4.0-ACL-Transactional-Data,Extended,20,permit,tcp,any,any,1521
pl-krk-cs01,AutoQos-4.0-ACL-Transactional-Data,Extended,30,permit,udp,any,any,1521
pl-krk-cs01,AutoQos-4.0-ACL-Transactional-Data,Extended,40,permit,tcp,any,any,1526
pl-krk-cs01,AutoQos-4.0-ACL-Transactional-Data,Extended,50,permit,udp,any,any,1526
pl-krk-cs01,AutoQos-4.0-ACL-Transactional-Data,Extended,60,permit,tcp,any,any,1575
pl-krk-cs01,AutoQos-4.0-ACL-Transactional-Data,Extended,70,permit,udp,any,any,1575
pl-krk-cs01,AutoQos-4.0-ACL-Transactional-Data,Extended,80,permit,tcp,any,any,1630
pl-krk-cs01,AutoQos-4.0-ACL-Transactional-Data,Extended,90,permit,udp,any,any,1630
pl-krk-cs01,FROM-KRK-TEST-WiFi,Extended,10,permit,udp,any,host 255.255.255.255,bootps
pl-krk-cs01,FROM-KRK-TEST-WiFi,Extended,20,permit,udp,any,any,bootpc
pl-krk-cs01,FROM-KRK-TEST-WiFi,Extended,30,permit,udp,any,any,bootps
pl-krk-cs01,FROM-KRK-TEST-WiFi,Extended,40,permit,tcp,10.55.228.0 0.0.0.255,host 10.120.67.51,www
pl-krk-cs01,FROM-KRK-TEST-WiFi,Extended,50,permit,udp,10.55.228.0 0.0.0.255,host 10.210.193.235,domain
pl-krk-cs01,FROM-KRK-TEST-WiFi,Extended,60,permit,udp,10.55.228.0 0.0.0.255,host 10.210.193.235,bootps
