admin-state,description,interface,ip-add,mac-address,nameif,netmask,security-level
up,,Port-channel1.712,10.119.5.1,0200.0101.0101,ld6-cde-api-integration,255.255.255.0,100
up,,Port-channel1.2275,10.119.16.1,0200.0101.0101,ld6-cde-lan09,255.255.255.0,100
up,,Port-channel1.2277,10.119.18.1,0200.0101.0101,ld6-cde-lan11,255.255.255.0,100
up,,Port-channel1.2302,10.119.84.1,0200.0101.0101,ld6-noncde-app8-lan,255.255.255.0,100
up,,Port-channel1.719,10.119.12.1,0200.0101.0101,ld6-cde-lan05,255.255.255.0,100
up,,Port-channel1.714,10.119.7.1,0200.0101.0101,ld6-cde-ext-api,255.255.255.0,100
up,,Port-channel1.764,10.119.71.1,0200.0101.0101,ld6-noncde-app-lan04,255.255.255.0,100
up,,Port-channel1.759,10.119.66.1,0200.0101.0101,ld6-noncde-web1-lan,255.255.255.0,100
up,,Port-channel1.713,10.119.6.1,0200.0101.0101,ld6-cde-ext-pres-lan,255.255.255.0,100
up,,Port-channel1.720,10.119.13.1,0200.0101.0101,ld6-cde-lan06,255.255.255.0,100
up,,Port-channel1.758,10.119.65.1,0200.0101.0101,ld6-noncde-deployment-lan,255.255.255.0,100
up,,Port-channel1.2280,10.119.21.1,0200.0101.0101,ld6-cde-lan14,255.255.255.0,100
up,,Port-channel1.2301,10.119.83.1,0200.0101.0101,ld6-noncde-app7-lan,255.255.255.0,100
up,,Port-channel1.710,10.119.3.1,0200.0101.0101,ld6-cde-app1-lan,255.255.255.0,100
up,,Port-channel1.770,10.119.77.1,0200.0101.0101,ld6-noncde-app-lan10,255.255.255.0,100
up,,Port-channel1.2304,10.119.86.1,0200.0101.0101,ld6-noncde-app10-lan,255.255.255.0,100
up,,Port-channel1.2298,10.119.80.1,0200.0101.0101,ld6-noncde-app4-lan,255.255.255.0,100
up,,Port-channel1.717,10.119.10.1,0200.0101.0101,ld6-cde-front-cx-mgmt,255.255.255.0,100
up,,Port-channel1.722,10.119.15.1,0200.0101.0101,ld6-cde-lan08,255.255.255.0,100
up,,Port-channel1.2279,10.119.20.1,0200.0101.0101,ld6-cde-lan13,255.255.255.0,100
up,,Port-channel1.715,10.119.8.1,0200.0101.0101,ld6-cde-lan02,255.255.255.0,100
up,,Port-channel1.765,10.119.72.1,0200.0101.0101,ld6-noncde-app-lan05,255.255.255.0,100
up,,Port-channel1.708,10.119.1.1,0200.0101.0101,ld6-cde-deployment-lan,255.255.255.0,100
up,,Port-channel1.760,10.119.67.1,0200.0101.0101,ld6-noncde-app1-lan,255.255.255.0,100
up,,Port-channel1.762,10.119.69.1,0200.0101.0101,ld6-noncde-app-lan02,255.255.255.0,100
up,,Port-channel1.2281,10.119.22.1,0200.0101.0101,ld6-cde-lan15,255.255.255.0,100
up,,Port-channel1.2278,10.119.19.1,0200.0101.0101,ld6-cde-lan12,255.255.255.0,100
up,,Port-channel1.2282,10.119.23.1,0200.0101.0101,ld6-cde-lan16,255.255.255.0,100
up,,Port-channel1.709,10.119.2.1,0200.0101.0101,ld6-cde-web1-lan,255.255.255.0,100
up,,Port-channel1.2300,10.119.82.1,0200.0101.0101,ld6-noncde-app6-lan,255.255.255.0,100
up,,Port-channel1.771,10.119.78.1,0200.0101.0101,ld6-noncde-app2-lan,255.255.255.0,100
up,,Port-channel1.767,10.119.74.1,0200.0101.0101,ld6-noncde-app-lan07,255.255.255.0,100
up,,Port-channel1.716,10.119.9.1,0200.0101.0101,ld6-cde-lan03,255.255.255.0,100
up,,Port-channel1.772,10.119.79.1,0200.0101.0101,ld6-noncde-app3-lan,255.255.255.0,100
up,,Port-channel1.2276,10.119.17.1,0200.0101.0101,ld6-cde-lan10,255.255.255.0,100
up,,Port-channel1.2305,10.119.87.1,0200.0101.0101,ld6-noncde-app11-lan,255.255.255.0,100
up,,Port-channel1.761,10.119.68.1,0200.0101.0101,ld6-noncde-app-lan01,255.255.255.0,100
up,,Port-channel1.768,10.119.75.1,0200.0101.0101,ld6-noncde-app-lan08,255.255.255.0,100
up,,Port-channel1.718,10.119.11.1,0200.0101.0101,ld6-cde-lan04,255.255.255.0,100
up,,Port-channel1.766,10.119.73.1,0200.0101.0101,ld6-noncde-app-lan06,255.255.255.0,100
up,,Port-channel1.769,10.119.76.1,0200.0101.0101,ld6-noncde-app-lan09,255.255.255.0,100
up,,Port-channel1.2005,10.112.215.188,0200.0101.0101,internal-vrf,255.255.255.248,100
 shutdown,,Port-channel1.384,,0200.0101.0101,,,100
up,,Port-channel1.711,10.119.4.1,0200.0101.0101,ld6-cde-internal-presentation,255.255.255.0,100
up,,Port-channel1.763,10.119.70.1,0200.0101.0101,ld6-noncde-app-lan03,255.255.255.0,100
up,,Port-channel1.721,10.119.14.1,0200.0101.0101,ld6-cde-lan07,255.255.255.0,100
up,,Port-channel1.2303,10.119.85.1,0200.0101.0101,ld6-noncde-app9-lan,255.255.255.0,100
up,,Port-channel1.2299,10.119.81.1,0200.0101.0101,ld6-noncde-app5-lan,255.255.255.0,100
