admin-state,description,interface,ip-add,mac-address,nameif,netmask,security-level
up,,Port-channel1.230,10.114.73.1,0200.0101.0101,caerus-apps-new,255.255.255.0,100
up,,Port-channel1.253,10.114.100.1,0200.0101.0101,rng-arcade,255.255.255.0,100
up,,Port-channel1.211,10.114.67.1,0200.0101.0101,non-cde-web-tier,255.255.255.0,100
up,,Port-channel1.261,10.114.99.1,0200.0101.0101,applications-tier,255.255.255.0,100
up,,Port-channel1.210,10.114.66.1,0200.0101.0101,noncde-backoffice,255.255.255.0,100
up,,Port-channel1.422,10.114.224.4,0200.0101.0101,internal-vrf,255.255.255.224,100
up,,Port-channel1.231,10.114.74.1,0200.0101.0101,int-lb,255.255.254.0,100
up,,Port-channel1.260,10.114.98.1,0200.0101.0101,database-tier,255.255.255.0,100
up,,Port-channel1.254,10.114.96.129,0200.0101.0101,rng-retail,255.255.255.224,100
up,,Port-channel1.264,10.114.102.1,0200.0101.0101,trading,255.255.255.0,100
