hostname,acl-name,acl-type,seq number,action,protocol,source,destination,ports
gib-wp6-vacc1,solarwinds-new,Standard,10,permit,,10.112.12.126,,,
gib-wp6-vacc1,solarwinds-new,Standard,20,permit,,10.112.12.125,,,
gib-wp6-vacc1,solarwinds-new,Standard,30,permit,,10.120.163.143,,,
gib-wp6-vacc1,solarwinds-new,Standard,40,permit,,10.120.163.142,,,
gib-wp6-vacc1,solarwinds-new,Standard,50,permit,,10.120.163.123,,,
gib-wp6-vacc1,solarwinds-new,Standard,60,permit,,10.120.163.122,,,
gib-wp6-vacc1,solarwinds-new,Standard,70,permit,,10.112.12.144,,,
gib-wp6-vacc1,solarwinds-new,Standard,80,permit,,10.112.12.142,,,
gib-wp6-vacc1,solarwinds-new,Standard,90,permit,,10.112.12.143,,,
gib-wp6-vacc1,solarwinds-new,Standard,100,deny,,any log,,,
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,10,permit,udp,any,host 255.255.255.255,bootps
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,20,permit,udp,any,any,bootps
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,30,permit,udp,10.180.120.0 0.0.0.255,host 10.210.193.235,domain
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,40,permit,udp,10.180.120.0 0.0.0.255,host 10.210.193.235,bootps
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,50,permit,udp,10.180.120.0 0.0.0.255,host 10.210.193.236,domain
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,60,permit,udp,10.180.120.0 0.0.0.255,host 10.210.193.236,bootps
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,70,permit,udp,10.180.120.0 0.0.0.255,host 10.120.193.235,domain
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,80,permit,udp,10.180.120.0 0.0.0.255,host 10.120.193.235,bootps
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,90,permit,udp,10.180.120.0 0.0.0.255,host 10.120.193.236,domain
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,100,permit,udp,10.180.120.0 0.0.0.255,host 10.120.193.236,bootps
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,110,permit,udp,10.180.120.0 0.0.0.255,host 10.120.193.238,domain
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,120,permit,udp,10.180.120.0 0.0.0.255,host 10.120.193.239,domain
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,130,permit,ip,10.180.120.0 0.0.0.255,host 141.138.129.40,
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,140,permit,ip,10.180.120.0 0.0.0.255,host 95.131.184.37,
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,150,permit,tcp,10.180.120.0 0.0.0.255,0.1.28.0 0.0.1.255,www
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,160,permit,tcp,10.180.120.0 0.0.0.255,0.1.28.0 0.0.1.255,443
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,170,permit,tcp,10.180.120.0 0.0.0.255,213.36.0 0.0.1.255,443
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,180,permit,tcp,10.180.120.0 0.0.0.255,214.36.0 0.0.1.255,www
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,190,permit,tcp,10.180.120.0 0.0.0.255,214.36.0 0.0.1.255,443
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,200,permit,tcp,10.180.120.0 0.0.0.255,215.36.0 0.0.1.255,www
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,210,permit,tcp,10.180.120.0 0.0.0.255,215.36.0 0.0.1.255,443
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,220,permit,tcp,10.180.120.0 0.0.0.255,216.36.0 0.0.1.255,www
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,230,permit,tcp,10.180.120.0 0.0.0.255,216.36.0 0.0.1.255,443
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,240,permit,tcp,10.180.120.0 0.0.0.255,211.38.0 0.0.1.255,443
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,250,permit,tcp,10.180.120.0 0.0.0.255,211.38.0 0.0.1.255,www
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,260,permit,tcp,10.180.120.0 0.0.0.255,212.38.0 0.0.1.255,443
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,270,permit,tcp,10.180.120.0 0.0.0.255,212.38.0 0.0.1.255,www
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,280,permit,tcp,10.180.120.0 0.0.0.255,213.38.0 0.0.1.255,443
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,290,permit,tcp,10.180.120.0 0.0.0.255,213.38.0 0.0.1.255,www
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,300,permit,tcp,10.180.120.0 0.0.0.255,214.38.0 0.0.1.255,443
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,310,permit,tcp,10.180.120.0 0.0.0.255,214.38.0 0.0.1.255,www
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,320,permit,tcp,10.180.120.0 0.0.0.255,215.38.0 0.0.1.255,443
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,330,permit,tcp,10.180.120.0 0.0.0.255,215.38.0 0.0.1.255,www
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,340,permit,tcp,10.180.120.0 0.0.0.255,216.38.0 0.0.1.255,443
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,350,permit,tcp,10.180.120.0 0.0.0.255,216.38.0 0.0.1.255,www
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,360,permit,tcp,10.180.120.0 0.0.0.255,211.43.0 0.0.0.255,www
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,370,permit,tcp,10.180.120.0 0.0.0.255,211.43.0 0.0.0.255,443
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,380,permit,tcp,10.180.120.0 0.0.0.255,212.43.0 0.0.0.255,www
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,390,permit,tcp,10.180.120.0 0.0.0.255,212.43.0 0.0.0.255,443
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,400,permit,tcp,10.180.120.0 0.0.0.255,213.43.0 0.0.0.255,www
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,410,permit,tcp,10.180.120.0 0.0.0.255,213.43.0 0.0.0.255,443
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,420,permit,tcp,10.180.120.0 0.0.0.255,214.43.0 0.0.0.255,www
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,430,permit,tcp,10.180.120.0 0.0.0.255,214.43.0 0.0.0.255,443
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,440,permit,tcp,10.180.120.0 0.0.0.255,215.43.0 0.0.0.255,www
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,450,permit,tcp,10.180.120.0 0.0.0.255,215.43.0 0.0.0.255,443
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,460,permit,tcp,10.180.120.0 0.0.0.255,216.43.0 0.0.0.255,www
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,470,permit,tcp,10.180.120.0 0.0.0.255,216.43.0 0.0.0.255,443
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,480,permit,tcp,10.180.120.0 0.0.0.255,211.66.0 0.0.1.255,www
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,490,permit,tcp,10.180.120.0 0.0.0.255,211.66.0 0.0.1.255,443
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,500,permit,tcp,10.180.120.0 0.0.0.255,212.66.0 0.0.1.255,www
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,510,permit,tcp,10.180.120.0 0.0.0.255,212.66.0 0.0.1.255,443
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,520,permit,tcp,10.180.120.0 0.0.0.255,213.66.0 0.0.1.255,www
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,530,permit,tcp,10.180.120.0 0.0.0.255,213.66.0 0.0.1.255,443
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,540,permit,tcp,10.180.120.0 0.0.0.255,214.66.0 0.0.1.255,www
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,550,permit,tcp,10.180.120.0 0.0.0.255,214.66.0 0.0.1.255,443
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,560,permit,tcp,10.180.120.0 0.0.0.255,215.66.0 0.0.1.255,www
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,570,permit,tcp,10.180.120.0 0.0.0.255,215.66.0 0.0.1.255,443
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,580,permit,tcp,10.180.120.0 0.0.0.255,216.66.0 0.0.1.255,www
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,590,permit,tcp,10.180.120.0 0.0.0.255,216.66.0 0.0.1.255,443
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,600,permit,tcp,10.180.120.0 0.0.0.255,1.216.0 0.0.1.255,www
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,610,permit,tcp,10.180.120.0 0.0.0.255,1.216.0 0.0.1.255,443
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,620,permit,tcp,10.180.120.0 0.0.0.255,2.216.0 0.0.1.255,www
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,630,permit,tcp,10.180.120.0 0.0.0.255,2.216.0 0.0.1.255,443
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,640,permit,tcp,10.180.120.0 0.0.0.255,3.216.0 0.0.1.255,www
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,650,permit,tcp,10.180.120.0 0.0.0.255,3.216.0 0.0.1.255,443
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,660,permit,tcp,10.180.120.0 0.0.0.255,4.216.0 0.0.1.255,www
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,670,permit,tcp,10.180.120.0 0.0.0.255,4.216.0 0.0.1.255,443
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,680,permit,tcp,10.180.120.0 0.0.0.255,5.216.0 0.0.1.255,www
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,690,permit,tcp,10.180.120.0 0.0.0.255,5.216.0 0.0.1.255,443
gib-wp6-vacc1,FROM-GIB-TEST-WIFI,Extended,700,permit,tcp,10.180.120.0 0.0.0.255,6.216.0 0.0.1.255,www
