hostname,acl-name,acl-type,seq number,action,protocol,source,destination,ports
uk-cwk-lab-sw01,acl-management,Standard,10,permit,,10.112.12.126,,,
uk-cwk-lab-sw01,acl-management,Standard,20,permit,,10.112.12.125,,,
uk-cwk-lab-sw01,acl-management,Standard,30,permit,,10.120.163.143,,,
uk-cwk-lab-sw01,acl-management,Standard,40,permit,,10.120.163.142,,,
uk-cwk-lab-sw01,acl-management,Standard,50,permit,,10.120.163.123,,,
uk-cwk-lab-sw01,acl-management,Standard,60,permit,,10.120.163.122,,,
uk-cwk-lab-sw01,acl-management,Standard,70,permit,,10.112.12.144,,,
uk-cwk-lab-sw01,acl-management,Standard,80,permit,,10.112.12.142,,,
uk-cwk-lab-sw01,acl-management,Standard,90,permit,,10.112.12.143,,,
uk-cwk-lab-sw01,acl-management,Standard,100,permit,,10.1.82.0 0.0.0.255,,,
uk-cwk-lab-sw01,acl-management,Standard,110,permit,,192.168.2.0 0.0.1.255,,,
uk-cwk-lab-sw01,acl-management,Standard,120,permit,,100.79.0.0 0.0.127.255,,,
uk-cwk-lab-sw01,acl-management,Standard,130,deny,,any log,,,
uk-cwk-lab-sw01,solarwinds-new,Standard,10,permit,,10.112.12.126,,,
uk-cwk-lab-sw01,solarwinds-new,Standard,20,permit,,10.112.12.125,,,
uk-cwk-lab-sw01,solarwinds-new,Standard,30,permit,,10.120.163.143,,,
uk-cwk-lab-sw01,solarwinds-new,Standard,40,permit,,10.120.163.142,,,
uk-cwk-lab-sw01,solarwinds-new,Standard,50,permit,,10.120.163.123,,,
uk-cwk-lab-sw01,solarwinds-new,Standard,60,permit,,10.120.163.122,,,
uk-cwk-lab-sw01,solarwinds-new,Standard,70,permit,,10.112.12.144,,,
uk-cwk-lab-sw01,solarwinds-new,Standard,80,permit,,10.112.12.142,,,
uk-cwk-lab-sw01,solarwinds-new,Standard,90,permit,,10.112.12.143,,,
uk-cwk-lab-sw01,solarwinds-new,Standard,100,deny,,any log,,,
uk-cwk-lab-sw01,test,Standard,10,permit,,10.112.12.126,,,
uk-cwk-lab-sw01,test,Standard,20,permit,,10.112.12.125,,,
uk-cwk-lab-sw01,test,Standard,30,permit,,10.120.163.143,,,
uk-cwk-lab-sw01,test,Standard,40,permit,,10.120.163.142,,,
uk-cwk-lab-sw01,test,Standard,50,permit,,10.120.163.123,,,
uk-cwk-lab-sw01,test,Standard,60,permit,,10.120.163.122,,,
uk-cwk-lab-sw01,test,Standard,70,permit,,10.112.12.144,,,
uk-cwk-lab-sw01,test,Standard,80,permit,,10.112.12.142,,,
uk-cwk-lab-sw01,test,Standard,90,permit,,10.112.12.143,,,
uk-cwk-lab-sw01,test,Standard,100,deny,,any log,,,
uk-cwk-lab-sw01,Test-Auto-Ext,Extended,10,permit,ip,0.0.0.0 255.255.252.0,any,
uk-cwk-lab-sw01,Test-Auto-Ext,Extended,20,permit,ip,0.0.0.0 255.255.255.192,any,
uk-cwk-lab-sw01,Test-Auto-Ext,Extended,30,permit,tcp,any,any established,
uk-cwk-lab-sw01,Test-Auto-Ext,Extended,40,permit,udp,any,host 10.17.5.204,domain
uk-cwk-lab-sw01,Test-Auto-Ext,Extended,50,permit,udp,any,host 10.17.2.11,domain
uk-cwk-lab-sw01,test-aut0,Extended,40,permit,udp,any,host 10.17.5.204,domain
uk-cwk-lab-sw01,test-aut0,Extended,50,permit,udp,any,host 10.17.2.11,domain
uk-cwk-lab-sw01,test-aut0,Extended,100,permit,tcp,any,any,cmd
uk-cwk-lab-sw01,test-aut0,Extended,200,permit,tcp,any,any established,
uk-cwk-lab-sw01,1,Standard,10,permit,,10.10.10.0 0.0.0.255,,,
uk-cwk-lab-sw01,1,Standard,20,permit,,20.20.20.0 0.0.0.255,,,
uk-cwk-lab-sw01,10,Standard,30,permit,,8.8.8.8,,,
uk-cwk-lab-sw01,10,Standard,10,permit,,20.20.20.0 0.0.0.255,,,
