admin-state,description,interface,ip-add,mac-address,nameif,netmask,security-level
up,,Port-channel1.1909,10.116.2.1,0200.0101.0101,pte-cde-web1-lan,255.255.255.0,100
up,,Port-channel1.1917,10.116.10.1,0200.0101.0101,pte-cde-mgmt-lan,255.255.255.0,100
up,,Port-channel1.1914,10.116.7.1,0200.0101.0101,pte-cde-ext-api,255.255.255.0,100
up,,Port-channel1.1915,10.116.8.1,0200.0101.0101,pte-cde-lan02,255.255.255.0,100
up,,Port-channel1.1977,10.116.84.1,0200.0101.0101,pte-noncde-app8-lan,255.255.255.0,100
up,,Port-channel1.1928,10.116.21.1,0200.0101.0101,pte-cde-lan14,255.255.255.0,100
up,,Port-channel1.1908,10.116.1.1,0200.0101.0101,pte-cde-deployment-lan,255.255.255.0,100
up,,Port-channel1.1910,10.116.3.1,0200.0101.0101,pte-cde-app1-lan,255.255.255.0,100
up,,Port-channel1.1923,10.116.16.1,0200.0101.0101,pte-cde-lan09,255.255.255.0,100
up,,Port-channel1.1960,10.116.67.1,0200.0101.0101,pte-noncde-app1-lan,255.255.255.0,100
up,,Port-channel1.1684,10.115.161.196,0200.0101.0101,pte-internal-vrf,255.255.255.224,100
up,,Port-channel1.1978,10.116.85.1,0200.0101.0101,pte-noncde-app9-lan,255.255.255.0,100
up,,Port-channel1.1911,10.116.4.1,0200.0101.0101,pte-cde-int-pres-lan,255.255.255.0,100
up,,Port-channel1.1979,10.116.86.1,0200.0101.0101,pte-noncde-app10-lan,255.255.255.0,100
up,,Port-channel1.1919,10.116.12.1,0200.0101.0101,pte-cde-lan05,255.255.255.0,100
up,,Port-channel1.1916,10.116.9.1,0200.0101.0101,pte-cde-lan03,255.255.255.0,100
up,,Port-channel1.1970,10.116.77.1,0200.0101.0101,pte-noncde-lan10,255.255.255.0,100
up,,Port-channel1.1924,10.116.17.1,0200.0101.0101,pte-cde-lan10,255.255.255.0,100
up,,Port-channel1.1962,10.116.69.1,0200.0101.0101,pte-noncde-lan02,255.255.255.0,100
up,,Port-channel1.1964,10.116.71.1,0200.0101.0101,pte-noncde-lan04,255.255.255.0,100
up,,Port-channel1.1926,10.116.19.1,0200.0101.0101,pte-cde-lan12,255.255.255.0,100
up,,Port-channel1.1969,10.116.76.1,0200.0101.0101,pte-noncde-lan09,255.255.255.0,100
up,,Port-channel1.1922,10.116.15.1,0200.0101.0101,pte-cde-lan08,255.255.255.0,100
up,,Port-channel1.1968,10.116.75.1,0200.0101.0101,pte-noncde-lan08,255.255.255.0,100
up,,Port-channel1.1930,10.116.23.1,0200.0101.0101,pte-cde-lan16,255.255.255.0,100
up,,Port-channel1.1927,10.116.20.1,0200.0101.0101,pte-cde-lan13,255.255.255.0,100
up,,Port-channel1.1980,10.116.87.1,0200.0101.0101,pte-noncde-app11-lan,255.255.255.0,100
up,,Port-channel1.1958,10.116.65.1,0200.0101.0101,pte-noncde-deployment-lan,255.255.255.0,100
up,,Port-channel1.1929,10.116.22.1,0200.0101.0101,pte-cde-lan15,255.255.255.0,100
up,,Port-channel1.1912,10.116.5.1,0200.0101.0101,pte-cde-api-lan,255.255.255.0,100
up,,Port-channel1.1920,10.116.13.1,0200.0101.0101,pte-cde-lan06,255.255.255.0,100
up,,Port-channel1.1972,10.116.79.1,0200.0101.0101,pte-noncde-app3-lan,255.255.255.0,100
up,,Port-channel1.1965,10.116.72.1,0200.0101.0101,pte-noncde-lan05,255.255.255.0,100
up,,Port-channel1.1921,10.116.14.1,0200.0101.0101,pte-cde-lan07,255.255.255.0,100
up,,Port-channel1.1959,10.116.66.1,0200.0101.0101,pte-noncde-web1-lan,255.255.255.0,100
up,,Port-channel1.1971,10.116.78.1,0200.0101.0101,pte-noncde-app2-lan,255.255.255.0,100
up,,Port-channel1.1974,10.116.81.1,0200.0101.0101,pte-noncde-app5-lan,255.255.255.0,100
up,,Port-channel1.1975,10.116.82.1,0200.0101.0101,pte-noncde-app6-lan,255.255.255.0,100
up,,Port-channel1.1913,10.116.6.1,0200.0101.0101,pte-cde-ext-pres-lan,255.255.255.0,100
up,,Port-channel1.1966,10.116.73.1,0200.0101.0101,pte-noncde-lan06,255.255.255.0,100
up,,Port-channel1.1967,10.116.74.1,0200.0101.0101,pte-noncde-lan07,255.255.255.0,100
up,,Port-channel1.1918,10.116.11.1,0200.0101.0101,pte-cde-lan04,255.255.255.0,100
up,,Port-channel1.1925,10.116.18.1,0200.0101.0101,pte-cde-lan11,255.255.255.0,100
up,,Port-channel1.1961,10.116.68.1,0200.0101.0101,pte-noncde-lan01,255.255.255.0,100
up,,Port-channel1.1973,10.116.80.1,0200.0101.0101,pte-noncde-app4-lan,255.255.255.0,100
up,,Port-channel1.1963,10.116.70.1,0200.0101.0101,pte-noncde-lan03,255.255.255.0,100
up,,Port-channel1.1976,10.116.83.1,0200.0101.0101,pte-noncde-app7-lan,255.255.255.0,100
