hostname,ip address,source int,community,poll/trap,version
uk-ld6-fw04-sec,10.112.129.45,oob-mgmt,juzusl4e11crIphigAQl,both,2c
uk-ld6-fw04-sec,10.120.129.45,oob-mgmt,juzusl4e11crIphigAQl,both,2c
uk-ld6-fw04-sec,10.120.163.59,oob-mgmt,m0squ1t0,both,2c
uk-ld6-fw04-sec,10.112.12.142,oob-mgmt,5wUx1DGU,both,2c
uk-ld6-fw04-sec,10.112.12.143,oob-mgmt,5wUx1DGU,both,2c
uk-ld6-fw04-sec,10.112.12.144,oob-mgmt,5wUx1DGU,both,2c
uk-ld6-fw04-sec,10.112.12.142,group-vrf,5wUx1DGU,both,2c
uk-ld6-fw04-sec,10.112.12.143,group-vrf,5wUx1DGU,both,2c
uk-ld6-fw04-sec,10.112.12.144,group-vrf,5wUx1DGU,both,2c
uk-ld6-fw04-sec,10.120.163.122,group-vrf,5wUx1DGU,both,2c
uk-ld6-fw04-sec,10.120.163.123,group-vrf,5wUx1DGU,both,2c
uk-ld6-fw04-sec,10.112.12.125,group-vrf,5wUx1DGU,both,2c
uk-ld6-fw04-sec,10.112.12.126,group-vrf,5wUx1DGU,both,2c
uk-ld6-fw04-sec,10.120.163.142,group-vrf,5wUx1DGU,both,2c
uk-ld6-fw04-sec,10.120.163.143,group-vrf,5wUx1DGU,both,2c
