hostname,acl-name,acl-type,seq number,action,protocol,source,destination,ports
uk-bfa-as01-f03,solarwinds-new,Standard,10,permit,,10.112.12.126,,,
uk-bfa-as01-f03,solarwinds-new,Standard,20,permit,,10.112.12.125,,,
uk-bfa-as01-f03,solarwinds-new,Standard,30,permit,,10.120.163.143,,,
uk-bfa-as01-f03,solarwinds-new,Standard,40,permit,,10.120.163.142,,,
uk-bfa-as01-f03,solarwinds-new,Standard,50,permit,,10.120.163.123,,,
uk-bfa-as01-f03,solarwinds-new,Standard,60,permit,,10.120.163.122,,,
uk-bfa-as01-f03,solarwinds-new,Standard,70,permit,,10.112.12.144,,,
uk-bfa-as01-f03,solarwinds-new,Standard,80,permit,,10.112.12.142,,,
uk-bfa-as01-f03,solarwinds-new,Standard,90,permit,,10.112.12.143,,,
uk-bfa-as01-f03,solarwinds-new,Standard,100,deny,,any log,,,
uk-bfa-as01-f03,AutoQos-4.0-Acl-Default,Extended,10,permit,ip,any,any,
uk-bfa-as01-f03,1,Standard,10,permit,,10.120.163.210,,,
uk-bfa-as01-f03,1,Standard,20,permit,,10.1.74.66,,,
uk-bfa-as01-f03,1,Standard,30,permit,,10.112.12.126,,,
uk-bfa-as01-f03,1,Standard,40,permit,,10.112.12.125,,,
uk-bfa-as01-f03,1,Standard,50,permit,,10.180.163.18,,,
uk-bfa-as01-f03,1,Standard,60,permit,,10.120.163.151,,,
uk-bfa-as01-f03,1,Standard,70,permit,,10.210.163.60,,,
uk-bfa-as01-f03,1,Standard,80,permit,,10.120.163.152,,,
uk-bfa-as01-f03,1,Standard,90,permit,,10.1.74.29,,,
uk-bfa-as01-f03,1,Standard,100,permit,,10.120.163.143,,,
uk-bfa-as01-f03,1,Standard,110,permit,,10.120.163.142,,,
uk-bfa-as01-f03,1,Standard,120,permit,,10.112.13.17,,,
uk-bfa-as01-f03,1,Standard,130,permit,,10.1.74.48,,,
uk-bfa-as01-f03,1,Standard,140,permit,,10.1.74.57,,,
uk-bfa-as01-f03,1,Standard,150,permit,,10.1.74.61,,,
uk-bfa-as01-f03,1,Standard,160,permit,,10.120.163.123,,,
uk-bfa-as01-f03,1,Standard,170,permit,,10.120.163.122,,,
uk-bfa-as01-f03,1,Standard,180,permit,,10.120.195.31,,,
uk-bfa-as01-f03,1,Standard,190,permit,,10.120.143.70,,,
uk-bfa-as01-f03,1,Standard,200,permit,,10.1.74.128,,,
uk-bfa-as01-f03,1,Standard,210,permit,,10.180.142.230,,,
uk-bfa-as01-f03,1,Standard,220,permit,,10.112.12.144,,,
uk-bfa-as01-f03,1,Standard,230,permit,,10.120.163.37,,,
uk-bfa-as01-f03,1,Standard,240,permit,,10.112.12.142,,,
uk-bfa-as01-f03,1,Standard,250,permit,,10.112.12.143,,,
uk-bfa-as01-f03,1,Standard,260,permit,,10.1.82.64 0.0.0.31,,,
uk-bfa-as01-f03,1,Standard,270,permit,,10.1.22.0 0.0.0.255,,,
uk-bfa-as01-f03,1,Standard,280,permit,,192.168.2.0 0.0.1.255,,,
uk-bfa-as01-f03,1,Standard,290,permit,,10.210.141.40 0.0.0.7,,,
uk-bfa-as01-f03,1,Standard,300,permit,,10.180.141.40 0.0.0.7,,,
uk-bfa-as01-f03,1,Standard,310,permit,,10.120.141.40 0.0.0.7,,,
uk-bfa-as01-f03,1,Standard,320,permit,,100.79.0.0 0.0.127.255,,,
uk-bfa-as01-f03,1,Standard,330,deny,,any log,,,
uk-bfa-as01-f03,10,Standard,10,permit,,10.120.163.210,,,
uk-bfa-as01-f03,10,Standard,20,permit,,10.120.163.59,,,
uk-bfa-as01-f03,10,Standard,30,deny,,any log,,,
uk-bfa-as01-f03,11,Standard,10,permit,,10.112.12.126,,,
uk-bfa-as01-f03,11,Standard,20,permit,,10.112.12.125,,,
uk-bfa-as01-f03,11,Standard,30,permit,,10.120.136.140,,,
uk-bfa-as01-f03,11,Standard,40,permit,,10.120.163.123,,,
uk-bfa-as01-f03,11,Standard,50,permit,,10.120.163.122,,,
uk-bfa-as01-f03,11,Standard,60,deny,,any log,,,
