hostname,name,type,seq number,remark,action,src_service_obj,src_service_obj_grp,protocol,src_host,src_network_obj,src_network_obj_grp,src_network,dest_host,dest_network_obj,dest_network_obj_grp,dest_network,dest_port,dest_port_obj_grp,dest_port_range,logging_level,logging_interval,status
uk-sc1-fw01-sec,group-vrf_access_in,extended,1,,permit,,,icmp,,,,any4,,,,any4,,,,informational,300,active
uk-sc1-fw01-sec,group-vrf_access_in,extended,2,,deny,,,ip,,,,any4,,,,any4,,,,informational,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,1,,permit,,,ip,10.1.82.92,,,,,,,any,,,,,,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,2,CHG0115229,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,3,,deny,,,ip,,,Corp-WiFi-Subnets,,,,,any,,,,informational,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,4,CHG0135183,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,5,CHG0141028,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,6,,permit,,,tcp,,rt2_serial_repeater,,,,,rt2_tills,,21299,,,informational,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,7,CHG0141026,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,8,,permit,,,tcp,,rt1_vmc_serial_repeater,,,,,rt1_tills,,21299,,,informational,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,9,,permit,,,tcp,,,aws-trading-prod,,,retail-estate.prod.williamhill.plc,,,6379,,,informational,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,10,CHG0136122,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,11,,permit,,,tcp,,,aws-trading-prod,,,,retail-nets,,7081,,,informational,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,12,CHG0018136,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,13,CHG0139312,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,14,,permit,,,tcp,,,Shop-nets,,,retail-estate.prod.williamhill.plc-new,,,,DM_INLINE_TCP_62,,informational,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,15,,permit,,,tcp,,,DM_INLINE_NETWORK_23,,10.120.170.70,,,,www,,,notifications,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,16,,permit,,,tcp,,,DM_INLINE_NETWORK_172,,10.210.172.101,,,,,DM_INLINE_TCP_173,,,,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,17,CHG0095363,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,18,,permit,,,udp,,,DM_INLINE_NETWORK_79,,,,DM_INLINE_NETWORK_72,,snmp,,,informational,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,19,CHG0087420, CHG0094805,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,20,,permit,9070,,,,,DM_INLINE_NETWORK_75,,,,grp-retail-stingrays,,,,,informational,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,21,CHG0136123,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,22,,permit,9070,,,,,aws-retail-prod,,,,DM_INLINE_NETWORK_197,,,,,informational,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,23,,permit,,DM_INLINE_SERVICE_14,,10.120.163.210,,,,10.93.0.1,,,,,,,informational,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,24,CHG0018190, CHG0091239,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,25,,permit,,DM_INLINE_SERVICE_3,,,,DM_INLINE_NETWORK_12,,,,DM_INLINE_NETWORK_51,,,,,notifications,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,26,CHG0113932,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,27,,permit,,,tcp,,,,10.121.67.0 255.255.255.0,,,DM_INLINE_NETWORK_158,,,TCP_7081,,notifications,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,28,CHG0019612,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,29,,permit,,,tcp,,,DM_INLINE_NETWORK_10,,,,DM_INLINE_NETWORK_20,,4511,,,notifications,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,30,CHG0022054, CHG0062597, INC0800587,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,31,,permit,,,tcp,,,DM_INLINE_NETWORK_32,,,,DM_INLINE_NETWORK_174,,8011,,,notifications,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,32,CHG0022054, CHG0031230, CHG0062597,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,33,,permit,,,tcp,,,DM_INLINE_NETWORK_33,,,sc1wnprrto-vip-cbs,,,65000,,,informational,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,34,CHG0022054, CHg0062597,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,35,,permit,,,tcp,,,DM_INLINE_NETWORK_34,,,sc1wnprrto-vip,,,8040,,,notifications,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,36,CHG0022054,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,37,,permit,,,tcp,,,DM_INLINE_NETWORK_35,,,sc1wnprrss-vip,,,8021,,,notifications,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,38,CHG0023398,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,39,,permit,,,tcp,,,test-tills,,,,RDB-Servers,,21554,,,notifications,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,40,CHG0015230,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,41,,permit,,,udp,,,DM_INLINE_NETWORK_36,,,,IANA_Nets,,,DM_INLINE_UDP_1,,informational,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,42,CHG0028811,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,43,,permit,,,tcp,,,DM_INLINE_NETWORK_202,,,PASports_Ipclear,,,telnet,,,notifications,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,44,CHG0028811,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,45,,permit,,,udp,10.120.163.59,,,,,PASports_Ipclear,,,snmp,,,notifications,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,46,CHG0030257,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,47,,permit,,,tcp,10.254.1.10,,,,,,SCC-Data-Collectors,,,,2001 2004,informational,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,48,CHG0034654,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,49,,permit,,,tcp,,Trading_Reporter,,,,,retail-nets,,1433,,,informational,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,50,CHG0031733,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,51,,permit,,,tcp,,,RTx-CES-servers,,,,SCC-Data-Collectors,,21299,,,,,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,52,CHG0079048,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,53,,permit,,,tcp,,,grp-system-engineers,,,Elasticsearch-Server,,,,DM_INLINE_TCP_21,,notifications,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,54,CHG0079048,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,55,,permit,,,tcp,,stj-dev-net,,,,Elasticsearch-Server,,,5601,,,notifications,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,56,CHG0019822, CHG0021052, CHG0023479,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,57,,permit,,DM_INLINE_SERVICE_5,,,,DM_INLINE_NETWORK_41,,,,DM_INLINE_NETWORK_42,,,,,notifications,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,58,CHG0016096, CHG0017715, CHG0019848, CHG0023479,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,59,,permit,,,tcp,,,DM_INLINE_NETWORK_39,,,,DM_INLINE_NETWORK_40,,,DM_INLINE_TCP_5,,notifications,300,active
