hostname,context,ip address,source int,community,poll/trap,version
uk-brs-pp-fw-asa01-sec,pp-e-mg,10.120.163.59,Corporate,&5f7Op0Zd3,both,2c
uk-brs-pp-fw-asa01-sec,pp-e-mg,10.120.136.15,Corporate,A55a55inat3d,poll,2c
uk-brs-pp-fw-asa01-sec,pp-e-mg,10.210.163.111,Corporate,whM0n1T0r,both,2c
uk-brs-pp-fw-asa01-sec,p1-c-mg-offshore,10.120.163.59,pp1off-internal-vrf,&5f7Op0Zd3,both,2c
uk-brs-pp-fw-asa01-sec,p1-c-mg-offshore,10.110.163.59,pp1off-internal-vrf,1ns3ct,poll,2c
uk-brs-pp-fw-asa01-sec,p1-c-mg-offshore,10.120.136.15,pp1off-internal-vrf,A55a55inat3d,poll,2c
uk-brs-pp-fw-asa01-sec,p1-c-mg-offshore,10.210.163.111,pp1off-internal-vrf,whM0n1T0r,both,2c
uk-brs-pp-fw-asa01-sec,p1-n-mg-offshore,10.120.163.59,pp1off-internal-vrf,&5f7Op0Zd3,both,2c
uk-brs-pp-fw-asa01-sec,p1-n-mg-offshore,10.120.136.15,pp1off-internal-vrf,A55a55inat3d,poll,2c
uk-brs-pp-fw-asa01-sec,p1-c-mg-onshore,10.120.163.59,pp1on-internal-vrf,&5f7Op0Zd3,both,2c
uk-brs-pp-fw-asa01-sec,p1-c-mg-onshore,10.110.163.59,pp1on-internal-vrf,1ns3ct,poll,2c
uk-brs-pp-fw-asa01-sec,p1-c-mg-onshore,10.120.136.15,pp1on-internal-vrf,A55a55inat3d,poll,2c
uk-brs-pp-fw-asa01-sec,p1-c-mg-onshore,10.210.163.111,pp1on-internal-vrf,whM0n1T0r,both,2c
uk-brs-pp-fw-asa01-sec,p1-n-mg-onshore,10.120.163.59,pp1on-internal-vrf,&5f7Op0Zd3,both,2c
uk-brs-pp-fw-asa01-sec,p1-n-mg-onshore,10.120.136.15,pp1on-internal-vrf,A55a55inat3d,poll,2c
uk-brs-pp-fw-asa01-sec,p1-c-be-offshore,10.120.163.59,pp1off-internal-vrf,&5f7Op0Zd3,both,2c
uk-brs-pp-fw-asa01-sec,p1-c-be-offshore,10.110.163.59,pp1off-internal-vrf,1ns3ct,poll,2c
uk-brs-pp-fw-asa01-sec,p1-c-be-offshore,10.120.136.15,pp1off-internal-vrf,A55a55inat3d,poll,2c
uk-brs-pp-fw-asa01-sec,p1-c-be-offshore,10.210.163.111,pp1off-internal-vrf,whM0n1T0r,both,2c
uk-brs-pp-fw-asa01-sec,p1-n-be-offshore,10.120.163.59,pp1off-internal-vrf,&5f7Op0Zd3,both,2c
uk-brs-pp-fw-asa01-sec,p1-n-be-offshore,10.120.136.15,pp1off-internal-vrf,A55a55inat3d,poll,2c
uk-brs-pp-fw-asa01-sec,p1-c-be-onshore,10.120.163.59,pp1on-internal-vrf,&5f7Op0Zd3,both,2c
uk-brs-pp-fw-asa01-sec,p1-c-be-onshore,10.120.136.15,pp1on-internal-vrf,A55a55inat3d,poll,2c
uk-brs-pp-fw-asa01-sec,p1-n-be-onshore,10.120.163.59,pp1on-internal-vrf,&5f7Op0Zd3,both,2c
uk-brs-pp-fw-asa01-sec,p1-n-be-onshore,10.120.136.15,pp1on-internal-vrf,A55a55inat3d,poll,2c
uk-brs-pp-fw-asa01-sec,p2-c-mg-offshore,10.120.163.59,pp2off-internal-vrf,&5f7Op0Zd3,both,2c
uk-brs-pp-fw-asa01-sec,p2-c-mg-offshore,10.110.163.59,pp2off-internal-vrf,1ns3ct,poll,2c
uk-brs-pp-fw-asa01-sec,p2-c-mg-offshore,10.120.136.15,pp2off-internal-vrf,A55a55inat3d,poll,2c
uk-brs-pp-fw-asa01-sec,p2-c-mg-offshore,10.210.163.111,pp2off-internal-vrf,whM0n1T0r,both,2c
uk-brs-pp-fw-asa01-sec,p2-n-mg-offshore,10.120.163.59,pp2off-internal-vrf,&5f7Op0Zd3,both,2c
uk-brs-pp-fw-asa01-sec,p2-n-mg-offshore,10.120.136.15,pp2off-internal-vrf,A55a55inat3d,poll,2c
uk-brs-pp-fw-asa01-sec,p2-n-be-offshore,10.120.163.59,pp2off-internal-vrf,&5f7Op0Zd3,both,2c
