hostname,acl-name,acl-type,seq number,action,protocol,source,destination,ports
it-rom-ar01-sogei,solarwinds-new,Standard,10,permit,,10.112.12.126,,,
it-rom-ar01-sogei,solarwinds-new,Standard,20,permit,,10.112.12.125,,,
it-rom-ar01-sogei,solarwinds-new,Standard,30,permit,,10.120.163.143,,,
it-rom-ar01-sogei,solarwinds-new,Standard,40,permit,,10.120.163.142,,,
it-rom-ar01-sogei,solarwinds-new,Standard,50,permit,,10.120.163.123,,,
it-rom-ar01-sogei,solarwinds-new,Standard,60,permit,,10.120.163.122,,,
it-rom-ar01-sogei,solarwinds-new,Standard,70,permit,,10.112.12.144,,,
it-rom-ar01-sogei,solarwinds-new,Standard,80,permit,,10.112.12.142,,,
it-rom-ar01-sogei,solarwinds-new,Standard,90,permit,,10.112.12.143,,,
it-rom-ar01-sogei,solarwinds-new,Standard,100,deny,,any log,,,
it-rom-ar01-sogei,acl-udp4501,Extended,10,permit,udp,any,any,4501
it-rom-ar01-sogei,1,Standard,10,permit,,10.120.163.210,,,
it-rom-ar01-sogei,1,Standard,20,permit,,10.1.74.66,,,
it-rom-ar01-sogei,1,Standard,30,permit,,10.112.12.126,,,
it-rom-ar01-sogei,1,Standard,40,permit,,10.112.12.125,,,
it-rom-ar01-sogei,1,Standard,50,permit,,10.180.163.18,,,
it-rom-ar01-sogei,1,Standard,60,permit,,10.120.163.151,,,
it-rom-ar01-sogei,1,Standard,70,permit,,10.210.163.60,,,
it-rom-ar01-sogei,1,Standard,80,permit,,10.120.163.152,,,
it-rom-ar01-sogei,1,Standard,90,permit,,10.1.74.29,,,
it-rom-ar01-sogei,1,Standard,100,permit,,10.120.163.143,,,
it-rom-ar01-sogei,1,Standard,110,permit,,10.120.163.142,,,
it-rom-ar01-sogei,1,Standard,120,permit,,10.112.13.17,,,
it-rom-ar01-sogei,1,Standard,130,permit,,10.1.74.48,,,
it-rom-ar01-sogei,1,Standard,140,permit,,10.1.74.57,,,
it-rom-ar01-sogei,1,Standard,150,permit,,10.1.74.61,,,
it-rom-ar01-sogei,1,Standard,160,permit,,10.120.163.123,,,
it-rom-ar01-sogei,1,Standard,170,permit,,10.120.163.122,,,
it-rom-ar01-sogei,1,Standard,180,permit,,10.120.195.31,,,
it-rom-ar01-sogei,1,Standard,190,permit,,10.120.143.70,,,
it-rom-ar01-sogei,1,Standard,200,permit,,10.1.74.128,,,
it-rom-ar01-sogei,1,Standard,210,permit,,10.180.142.230,,,
it-rom-ar01-sogei,1,Standard,220,permit,,10.112.12.144,,,
