admin-state,description,interface,ip-add,mac-address,nameif,netmask,security-level
up,,Port-channel1.384,10.180.161.196,,internal-vrf,255.255.255.224,100
 shutdown,,Port-channel1.708,10.181.1.1,,gib-cde-deployment-lan,255.255.255.0,100
up,,Port-channel1.709,10.181.2.1,,gib-cde-web1-lan,255.255.255.0,100
up,,Port-channel1.710,10.181.3.1,,gib-cde-app1-lan,255.255.255.0,100
up,,Port-channel1.711,10.181.4.1,,gib-cde-int-pres-lan,255.255.255.0,100
up,,Port-channel1.712,10.181.5.1,,gib-cde-api-lan,255.255.255.0,100
up,,Port-channel1.713,10.181.6.1,,gib-cde-ext-pres-lan,255.255.255.0,100
up,,Port-channel1.714,10.181.7.1,,gib-cde-ext-api,255.255.255.0,100
up,,Port-channel1.715,10.181.8.1,,gib-cde-lan02,255.255.255.0,100
up,,Port-channel1.716,10.181.9.1,,gib-cde-lan03,255.255.255.0,100
up,,Port-channel1.717,10.181.10.1,,gib-cde-mgmt-lan,255.255.255.0,100
up,,Port-channel1.718,10.181.11.1,,gib-cde-lan04,255.255.255.0,100
up,,Port-channel1.719,10.181.12.1,,gib-cde-lan05,255.255.255.0,100
up,,Port-channel1.720,10.181.13.1,,gib-cde-lan06,255.255.255.0,100
up,,Port-channel1.721,10.181.14.1,,gib-cde-lan07,255.255.255.0,100
up,,Port-channel1.722,10.181.15.1,,gib-cde-lan08,255.255.255.0,100
up,,Port-channel1.723,10.181.16.1,,gib-cde-lan09,255.255.255.0,100
up,,Port-channel1.724,10.181.17.1,,gib-cde-lan10,255.255.255.0,100
up,,Port-channel1.725,10.181.18.1,,gib-cde-lan11,255.255.255.0,100
up,,Port-channel1.726,10.181.19.1,,gib-cde-lan12,255.255.255.0,100
up,,Port-channel1.727,10.181.20.1,,gib-cde-lan13,255.255.255.0,100
up,,Port-channel1.728,10.181.21.1,,gib-cde-lan14,255.255.255.0,100
up,,Port-channel1.729,10.181.22.1,,gib-cde-lan15,255.255.255.0,100
up,,Port-channel1.730,10.181.23.1,,gib-cde-lan16,255.255.255.0,100
up,,Port-channel1.758,10.181.65.1,,gib-noncde-deployment-lan,255.255.255.0,100
up,,Port-channel1.759,10.181.66.1,,gib-noncde-web1-lan,255.255.255.0,100
up,,Port-channel1.760,10.181.67.1,,gib-noncde-app1-lan,255.255.255.0,100
up,,Port-channel1.761,10.181.68.1,,gib-noncde-lan01,255.255.255.0,100
up,,Port-channel1.762,10.181.69.1,,gib-noncde-lan02,255.255.255.0,100
up,,Port-channel1.763,10.181.70.1,,gib-noncde-lan03,255.255.255.0,100
up,,Port-channel1.764,10.181.71.1,,gib-noncde-lan04,255.255.255.0,100
up,,Port-channel1.765,10.181.72.1,,gib-noncde-lan05,255.255.255.0,100
up,,Port-channel1.766,10.181.73.1,,gib-noncde-lan06,255.255.255.0,100
up,,Port-channel1.767,10.181.74.1,,gib-noncde-lan07,255.255.255.0,100
up,,Port-channel1.768,10.181.75.1,,gib-noncde-lan08,255.255.255.0,100
up,,Port-channel1.769,10.181.76.1,,gib-noncde-lan09,255.255.255.0,100
up,,Port-channel1.770,10.181.77.1,,gib-noncde-lan10,255.255.255.0,100
up,,Port-channel1.771,10.181.78.1,,gib-noncde-app2-lan,255.255.255.0,100
up,,Port-channel1.772,10.181.79.1,,gib-noncde-app3-lan,255.255.255.0,100
up,,Port-channel1.773,10.181.80.1,,gib-noncde-app4-lan,255.255.255.0,100
up,,Port-channel1.774,10.181.81.1,,gib-noncde-app5-lan,255.255.255.0,100
up,,Port-channel1.775,10.181.82.1,,gib-noncde-app6-lan,255.255.255.0,100
up,,Port-channel1.776,10.181.83.1,,gib-noncde-app7-lan,255.255.255.0,100
up,,Port-channel1.777,10.181.84.1,,gib-noncde-app8-lan,255.255.255.0,100
up,,Port-channel1.778,10.181.85.1,,gib-noncde-app9-lan,255.255.255.0,100
up,,Port-channel1.779,10.181.86.1,,gib-noncde-app10-lan,255.255.255.0,100
up,,Port-channel1.780,10.181.87.1,,gib-noncde-app11-lan,255.255.255.0,100
