hostname,acl-name,acl-type,seq number,action,protocol,source,destination,ports
uk-mdc-ar02,acl-global-ssm,Standard,10,permit,,239.0.0.0 0.255.255.255,,,
uk-mdc-ar02,acl-iptv-ssm,Standard,10,permit,,239.0.0.0 0.0.0.255,,,
uk-mdc-ar02,solarwinds-new,Standard,10,permit,,10.112.12.126,,,
uk-mdc-ar02,solarwinds-new,Standard,20,permit,,10.112.12.125,,,
uk-mdc-ar02,solarwinds-new,Standard,30,permit,,10.120.163.143,,,
uk-mdc-ar02,solarwinds-new,Standard,40,permit,,10.120.163.142,,,
uk-mdc-ar02,solarwinds-new,Standard,50,permit,,10.120.163.123,,,
uk-mdc-ar02,solarwinds-new,Standard,60,permit,,10.120.163.122,,,
uk-mdc-ar02,solarwinds-new,Standard,70,permit,,10.112.12.144,,,
uk-mdc-ar02,solarwinds-new,Standard,80,permit,,10.112.12.142,,,
uk-mdc-ar02,solarwinds-new,Standard,90,permit,,10.112.12.143,,,
uk-mdc-ar02,solarwinds-new,Standard,100,deny,,any log,,,
uk-mdc-ar02,CLASSIFICATION-SRS-GROUP-VRF,Extended,10,permit,ip,host 10.91.2.20,host 10.210.177.17,
uk-mdc-ar02,CLASSIFICATION-SRS-GROUP-VRF,Extended,20,permit,ip,host 10.91.2.20,host 10.210.177.18,
uk-mdc-ar02,CLASSIFICATION-SRS-GROUP-VRF,Extended,30,permit,ip,host 10.91.2.21,host 10.210.177.17,
uk-mdc-ar02,CLASSIFICATION-SRS-GROUP-VRF,Extended,40,permit,ip,host 10.91.2.21,host 10.210.177.18,
uk-mdc-ar02,CLASSIFICATION-SRS-GROUP-VRF,Extended,50,permit,ip,host 10.91.2.20,host 10.120.177.17,
uk-mdc-ar02,CLASSIFICATION-SRS-GROUP-VRF,Extended,60,permit,ip,host 10.91.2.20,host 10.120.177.18,
uk-mdc-ar02,CLASSIFICATION-SRS-GROUP-VRF,Extended,70,permit,ip,host 10.91.2.21,host 10.120.177.17,
uk-mdc-ar02,CLASSIFICATION-SRS-GROUP-VRF,Extended,80,permit,ip,host 10.91.2.21,host 10.120.177.18,
uk-mdc-ar02,CLASSIFICATION-SRS-GROUP-VRF,Extended,1000,permit,ip,any,any,
uk-mdc-ar02,CLASSIFICATION-SRS-SIS-VRF,Extended,10,permit,ip,host 10.91.2.20,host 10.210.177.17,
uk-mdc-ar02,CLASSIFICATION-SRS-SIS-VRF,Extended,20,permit,ip,host 10.91.2.20,host 10.210.177.18,
uk-mdc-ar02,CLASSIFICATION-SRS-SIS-VRF,Extended,30,permit,ip,host 10.91.2.21,host 10.210.177.17,
