hostname,syslog ip address,vrf
GH_FIBRESWITCH_1,192.168.1.61,
GH_FIBRESWITCH_2,192.168.1.61,
bg-sof-ar01,10.120.163.11,group-vrf
bg-sof-ar01,10.120.163.206,group-vrf
bg-sof-ar02,10.120.163.11,group-vrf
bg-sof-ar02,10.120.163.206,group-vrf
gi-mpl-es01,10.180.163.57,mgmtVrf
gi-mpl-es02,10.180.163.57,mgmtVrf
gib-mpl-ar01,10.180.163.12,group-vrf
gib-mpl-ar01,10.180.163.57,group-vrf
gib-mpl-ar02,10.180.163.12,group-vrf
gib-mpl-ar02,10.180.163.57,group-vrf
gib-vcore1,10.180.163.12,internal-vrf
gib-vcore1,10.180.163.57,internal-vrf
gib-vcore1,10.180.163.18,internal-vrf
gib-voice1,10.180.163.17,mgmt-vrf
gib-voice1,10.180.163.57,mgmt-vrf
gib-wp5-vacc1,10.180.163.57,
gib-wp6-cs01,10.180.163.57,
gib-wpg-vacc1,10.180.163.57,
it-ml2-cr01,192.168.1.61,group-vrf
it-ml2-cr01,10.120.163.37,group-vrf
mt-msc-cr01,10.120.163.11,group-vrf
mt-msc-cr01,10.120.163.206,group-vrf
mt-msc-cr02,10.120.163.11,group-vrf
mt-msc-cr02,10.120.163.206,group-vrf
ph-mnl-ar01,192.168.1.61,group-vrf
ph-mnl-ar02,192.168.1.61,group-vrf
ph-mnl-cs01,192.168.1.61,group-vrf
pl-krk-ar01,10.120.163.11,group-vrf
pl-krk-ar01,10.120.163.206,group-vrf
pl-krk-ar02,10.120.163.11,group-vrf
pl-krk-ar02,10.120.163.206,group-vrf
pl-krk-vg01,194.102.6.63,
pl-krk-vg01,194.102.6.64,
uk-brs-cr01,10.210.163.58,group-vrf
uk-brs-cr02,10.210.163.60,group-vrf
uk-brs-cr02,10.210.163.58,group-vrf
uk-brs-cs01,10.210.163.60,internal-vrf
uk-brs-cs01,10.210.163.58,internal-vrf
uk-brs-dmvpn01,10.120.163.11,mgmt-vrf
uk-brs-dmvpn01,10.210.163.58,mgmt-vrf
uk-brs-er01,10.120.163.74,management
uk-brs-er01,10.210.163.58,management
uk-brs-er02,10.120.163.74,management
uk-brs-er02,10.210.163.58,management
uk-brs-es01,10.210.163.58,
uk-brs-es02,10.210.163.58,
uk-brs-sbc,194.102.6.63,
uk-brs-sbc,194.102.6.64,
uk-cwk-ar01,10.120.163.37,group-vrf
uk-cwk-ar02,192.168.1.61,
uk-cwk-ar02,10.120.163.37,group-vrf
uk-cwk-as03,192.168.1.61,
uk-cwk-as03,192.168.10.61,
uk-cwk-as04,192.168.1.61,
uk-cwk-as04,192.168.10.61,
uk-cwk-oob-spoke01,10.120.163.37,Mgmt-vrf
uk-dum-ar01,10.120.163.11,retail-vrf
uk-dum-ar01,10.120.163.206,retail-vrf
uk-ixh-ar01-PA,10.120.163.11,group-vrf
uk-ixh-ar01-PA,10.120.163.206,group-vrf
uk-ld6-cr01,10.112.12.111,management
uk-ld6-cr02,10.112.12.111,management
uk-ld6-dm01,10.210.163.60,Mgmt-intf
uk-ld6-dm01,10.112.12.111,Mgmt-intf
uk-ld6-es01,10.112.12.111,mgmtVrf
uk-ld6-es02,10.112.12.111,mgmtVrf
uk-ld6-or01,10.120.163.37,Mgmt-intf
uk-ld6-rr01,10.112.12.111,group-vrf
uk-man-cr01,192.168.1.61,group-vrf
uk-man-cr01,10.120.163.37,group-vrf
uk-man-rr01,10.120.163.11,group-vrf
uk-mdc-ar01,10.1.82.84,group-vrf
uk-mdc-ar01,192.168.1.61,group-vrf
uk-mdc-vacc01,192.168.1.61,group-vrf
uk-mtk-acc01,192.168.1.61,group-vrf
uk-mtk-ar01,192.168.1.61,group-vrf
uk-sc1-ar01-AS400,10.120.163.95,mgmt-vrf
uk-sc1-cr01,10.120.163.37,management
uk-sc1-cr01,10.120.163.95,management
uk-sc1-cr02,10.120.163.95,management
