hostname,name,type,seq number,remark,action,src_service_obj,src_service_obj_grp,protocol,src_host,src_network_obj,src_network_obj_grp,src_network,dest_host,dest_network_obj,dest_network_obj_grp,dest_network,dest_port,dest_port_obj_grp,dest_port_range,logging_level,logging_interval,status
uk-sc1-fw01-sec,group-vrf_access_in,extended,1,,permit,,,ip,,,,any4,,,,any4,,,,informational,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,1,Deny Rule - CHG0115229,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,2,,deny,,,ip,,,Corp-Wifi,,,,,any,,,,informational,300,inactive
uk-sc1-fw01-sec,internal-vrf_access_in,extended,3,CHG0034224,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,4,,permit,,,ip,,scc-nessus,,,,,,any4,,,,informational,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,5,CHG0136121,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,6,CHG0138783,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,7,,permit,,,tcp,,sc1-monitoring,,,,cdeproxy.group.williamhill.plc,,,https,,,informational,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,8,,permit,,,tcp,,,commvault-brs-media-servers,,,sc1wnprbkcs01,,,,TCP_8400-8403,,informational,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,9,CHG0133137,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,10,CHG0139905,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,11,,permit,,,tcp,,continuousx-network,,,,,DM_INLINE_NETWORK_80,,,DM_INLINE_TCP_13,,informational,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,12,,permit,,,tcp,,SC1WNPREMN20,,,,,SCC-NAS-IP-Range40-49,,,DM_INLINE_TCP_68,,informational,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,13,CHG0024076, PCI Q4 2018,PCI-Q2-2019,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,14,,permit,,,tcp,,,DM_INLINE_NETWORK_31,,,citrix.group.williamhill.plc,,,https,,,informational,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,15,CHG0021198, CHG0021327, CHG0022383, CHG0022234, CHG0023308,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,16,,permit,,,tcp,,,DM_INLINE_NETWORK_19,,,,DM_INLINE_NETWORK_12,,,DM_INLINE_TCP_12,,informational,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,17,CHG0124072,PCI-Q2-2019,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,18,,permit,tcp-2513,,,,brsapprcmg002,,,,,grp-pr-c-xen-app-controllers,,,,,informational,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,19,CHG0018357, CHG0019810, CHG0021073, CHG0021327, CHG0002234, CHG0023308,CHG0059082,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,20,,permit,,,tcp,,,DM_INLINE_NETWORK_16,,,,DM_INLINE_NETWORK_17,,,DM_INLINE_TCP_8,,informational,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,21,CHG0119859, PCI Q4 2018,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,22,,permit,,,tcp,,brs-jenkins-brswn109,,,,sc1-whapi-servers,,,,DM_INLINE_TCP_46,,informational,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,23,CHG0126042 - DENY Rule, Do Not Disable,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,24,,deny,,,tcp,,VPN-UK-24,,,,,informix-db-servers,,ssh,,,informational,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,25,CHG0023174,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,26,,permit,,,tcp,,,oxi_application_servers,,,,DM_INLINE_NETWORK_29,,sqlnet,,,informational,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,27,*** Locked on BRS CP ***,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,28,*** Locked on BRS CP ***,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,29,,permit,,,ip,,VPN-UK-24,,,,,,any4,,,,informational,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,30,CHG0029533, CHG0071526, CHG0134381,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,31,,permit,,,tcp,,,Openbet-Live-DR,,,,DM_INLINE_NETWORK_13,,,Web,,informational,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,32,CHG0032682, CHG0032663,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,33,,permit,,,tcp,,,DM_INLINE_NETWORK_54,,,informix-hdr-vip,,,1528,,,informational,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,34,PCI-Q2-2019,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,35,,permit,,,tcp,,ServerOperations-27,,,,CITRIX-NETWORK-24,,,3389,,,informational,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,36,CHG0074086,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,37,,permit,,,tcp,,sccuxstnmg03,,,,CITRIX-NETWORK-24,,,ssh,,,informational,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,38,CHG0076619,PCI-Q2-2019,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,39,,permit,,,tcp,,,grp-ta-gsh-testers,,,,grp-scc-ta-citrix,,3389,,,informational,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,40,CHG0032985, PCI Q4 2018,PCI-Q2-2019,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,41,,permit,,,tcp,,sc1wnprein03,,,,SC1-WN-PRE-FS01,,,,DM_INLINE_TCP_23,,informational,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,42,CHG0037131, CHG0134381, PCI-Q2-2019,,,,,,,,,,,,,,,,,,
