hostname,acl-name,acl-type,seq number,action,protocol,source,destination,ports
gib-vcore1,GROUP-LIMIT-STATIC,Standard,10,deny,,0.0.0.0,,,
gib-vcore1,GROUP-LIMIT-STATIC,Standard,20,deny,,10.50.1.10,,,
gib-vcore1,GROUP-LIMIT-STATIC,Standard,30,deny,,10.1.3.78,,,
gib-vcore1,GROUP-LIMIT-STATIC,Standard,40,deny,,10.100.50.12,,,
gib-vcore1,GROUP-LIMIT-STATIC,Standard,50,deny,,172.21.54.31,,,
gib-vcore1,GROUP-LIMIT-STATIC,Standard,60,deny,,10.1.0.231,,,
gib-vcore1,GROUP-LIMIT-STATIC,Standard,70,deny,,10.220.0.0 0.0.255.255,,,
gib-vcore1,GROUP-LIMIT-STATIC,Standard,80,deny,,10.220.192.0 0.0.7.255,,,
gib-vcore1,GROUP-LIMIT-STATIC,Standard,90,deny,,10.220.67.0 0.0.0.255,,,
gib-vcore1,GROUP-LIMIT-STATIC,Standard,100,deny,,10.221.0.0 0.0.255.255,,,
gib-vcore1,GROUP-LIMIT-STATIC,Standard,110,deny,,10.45.98.0 0.0.0.255,,,
gib-vcore1,GROUP-LIMIT-STATIC,Standard,120,deny,,192.168.220.0 0.0.0.255,,,
gib-vcore1,GROUP-LIMIT-STATIC,Standard,130,deny,,10.222.0.0 0.0.255.255,,,
gib-vcore1,GROUP-LIMIT-STATIC,Standard,140,deny,,10.223.0.0 0.0.255.255,,,
gib-vcore1,GROUP-LIMIT-STATIC,Standard,150,deny,,172.31.1.0 0.0.0.255,,,
gib-vcore1,GROUP-LIMIT-STATIC,Standard,160,deny,,10.1.1.0 0.0.0.255,,,
gib-vcore1,GROUP-LIMIT-STATIC,Standard,170,deny,,10.1.100.0 0.0.0.255,,,
gib-vcore1,GROUP-LIMIT-STATIC,Standard,180,deny,,10.117.0.0 0.0.0.63,,,
gib-vcore1,GROUP-LIMIT-STATIC,Standard,190,deny,,10.1.253.0 0.0.0.15,,,
gib-vcore1,GROUP-LIMIT-STATIC,Standard,200,deny,,10.1.254.0 0.0.0.15,,,
gib-vcore1,GROUP-LIMIT-STATIC,Standard,210,deny,,10.25.0.0 0.0.0.15,,,
gib-vcore1,GROUP-LIMIT-STATIC,Standard,220,deny,,10.245.0.0 0.0.0.255,,,
gib-vcore1,GROUP-LIMIT-STATIC,Standard,230,deny,,10.17.2.0 0.0.0.255,,,
gib-vcore1,GROUP-LIMIT-STATIC,Standard,240,deny,,10.17.5.0 0.0.0.255,,,
gib-vcore1,GROUP-LIMIT-STATIC,Standard,250,deny,,10.17.144.0 0.0.1.255,,,
gib-vcore1,GROUP-LIMIT-STATIC,Standard,260,deny,,172.21.3.0 0.0.0.255,,,
gib-vcore1,GROUP-LIMIT-STATIC,Standard,270,deny,,10.5.0.0 0.0.15.255,,,
gib-vcore1,GROUP-LIMIT-STATIC,Standard,280,deny,,10.50.0.0 0.0.3.255,,,
gib-vcore1,GROUP-LIMIT-STATIC,Standard,290,deny,,10.17.8.0 0.0.0.255,,,
gib-vcore1,GROUP-LIMIT-STATIC,Standard,300,deny,,10.54.98.0 0.0.0.255,,,
gib-vcore1,GROUP-LIMIT-STATIC,Standard,310,deny,,10.54.99.0 0.0.0.255,,,
gib-vcore1,GROUP-LIMIT-STATIC,Standard,320,deny,,10.224.0.0 0.0.255.255,,,
