hostname,acl-name,acl-type,seq number,action,protocol,source,destination,ports
uk-gs2-ar02,1,Standard,10,permit,,10.120.163.210,,,
uk-gs2-ar02,1,Standard,20,permit,,10.1.74.66,,,
uk-gs2-ar02,1,Standard,220,permit,,10.112.12.126,,,
uk-gs2-ar02,1,Standard,210,permit,,10.112.12.125,,,
uk-gs2-ar02,1,Standard,30,permit,,10.1.74.29,,,
uk-gs2-ar02,1,Standard,40,permit,,10.1.74.48,,,
uk-gs2-ar02,1,Standard,35,permit,,10.1.58.70,,,
uk-gs2-ar02,1,Standard,50,permit,,10.1.74.57,,,
uk-gs2-ar02,1,Standard,60,permit,,10.1.74.61,,,
uk-gs2-ar02,1,Standard,200,permit,,10.120.163.123,,,
uk-gs2-ar02,1,Standard,190,permit,,10.120.163.122,,,
uk-gs2-ar02,1,Standard,70,permit,,10.120.143.70,,,
uk-gs2-ar02,1,Standard,80,permit,,10.220.142.230,,,
uk-gs2-ar02,1,Standard,90,permit,,10.1.74.128,,,
uk-gs2-ar02,1,Standard,100,permit,,10.17.100.187,,,
uk-gs2-ar02,1,Standard,110,permit,,10.180.142.230,,,
uk-gs2-ar02,1,Standard,120,permit,,10.1.82.64 0.0.0.31,,,
uk-gs2-ar02,1,Standard,130,permit,,10.1.82.160 0.0.0.31,,,
uk-gs2-ar02,1,Standard,140,permit,,10.1.22.0 0.0.0.255,,,
uk-gs2-ar02,1,Standard,150,permit,,172.16.41.208 0.0.0.15,,,
uk-gs2-ar02,1,Standard,160,permit,,172.16.64.16 0.0.0.7,,,
uk-gs2-ar02,1,Standard,170,permit,,192.168.2.0 0.0.1.255,,,
uk-gs2-ar02,1,Standard,180,permit,,10.91.250.4 0.0.0.3,,,
uk-gs2-ar02,1,Standard,215,permit,,100.79.0.0 0.0.127.255,,,
uk-gs2-ar02,1,Standard,230,deny,,any log,,,
uk-gs2-ar02,5,Standard,10,permit,,62.239.34.0 0.0.1.255,,,
uk-gs2-ar02,5,Standard,20,permit,,194.74.144.0 0.0.0.255,,,
uk-gs2-ar02,5,Standard,30,permit,,194.102.6.0 0.0.1.255,,,
uk-gs2-ar02,5,Standard,40,permit,,194.102.8.0 0.0.1.255,,,
uk-gs2-ar02,5,Standard,50,permit,,194.102.19.0 0.0.0.255,,,
uk-gs2-ar02,10,Standard,10,permit,,10.112.12.126,,,
uk-gs2-ar02,10,Standard,20,permit,,10.112.12.125,,,
uk-gs2-ar02,10,Standard,30,permit,,10.210.163.71,,,
uk-gs2-ar02,10,Standard,40,permit,,10.120.163.123,,,
uk-gs2-ar02,10,Standard,50,permit,,10.120.163.122,,,
uk-gs2-ar02,10,Standard,60,permit,,10.120.163.59,,,
uk-gs2-ar02,10,Standard,70,permit,,10.110.163.59,,,
uk-gs2-ar02,10,Standard,80,deny,,any log,,,
uk-gs2-ar02,11,Standard,10,permit,,10.120.136.140,,,
uk-gs2-ar02,11,Standard,20,permit,,10.50.3.140,,,
uk-gs2-ar02,11,Standard,30,deny,,any log,,,
uk-gs2-ar02,12,Standard,10,permit,,10.220.163.112,,,
uk-gs2-ar02,12,Standard,20,permit,,10.220.163.111,,,
uk-gs2-ar02,12,Standard,30,permit,,10.180.163.112,,,
uk-gs2-ar02,12,Standard,40,permit,,10.180.163.111,,,
uk-gs2-ar02,12,Standard,50,permit,,10.120.163.112,,,
uk-gs2-ar02,12,Standard,60,permit,,10.110.163.111,,,
uk-gs2-ar02,12,Standard,70,permit,,10.110.163.112,,,
uk-gs2-ar02,12,Standard,80,permit,,10.120.163.111,,,
uk-gs2-ar02,12,Standard,90,deny,,any log,,,
uk-gs2-ar02,16,Standard,10,permit,,10.120.163.206,,,
