admin-state,description,interface,ip-add,mac-address,nameif,netmask,security-level
up,,Port-channel21.3584,10.215.161.196,,pp3off-internal-vrf,255.255.255.224,100
up,,Port-channel21.3708,10.195.1.1,,pp3off-cde-deployment-lan,255.255.255.0,100
up,,Port-channel21.3709,10.195.2.1,,pp3off-cde-web1-lan,255.255.255.0,100
up,,Port-channel21.3710,10.195.3.1,,pp3off-cde-app1-lan,255.255.255.0,100
up,,Port-channel21.3711,10.195.4.1,,pp3off-cde-internal-presentation,255.255.255.0,100
up,,Port-channel21.3712,10.195.5.1,,pp3off-cde-api-integration,255.255.255.0,100
up,,Port-channel21.3713,10.195.6.1,,pp3off-cde-ext-pres-lan,255.255.255.0,100
up,,Port-channel21.3714,10.195.7.1,,pp3off-cde-ext-api,255.255.255.0,100
up,,Port-channel21.3715,10.195.8.1,,pp3off-cde-lan02,255.255.255.0,100
up,,Port-channel21.3716,10.195.9.1,,pp3off-cde-lan03,255.255.255.0,100
up,,Port-channel21.3717,10.195.10.1,,pp3off-c-front-cx-mgmt,255.255.255.0,100
up,,Port-channel21.3718,10.195.11.1,,pp3off-cde-lan04,255.255.255.0,100
up,,Port-channel21.3719,10.195.12.1,,pp3off-cde-lan05,255.255.255.0,100
up,,Port-channel21.3720,10.195.13.1,,pp3off-cde-lan06,255.255.255.0,100
up,,Port-channel21.3721,10.195.14.1,,pp3off-cde-lan07,255.255.255.0,100
up,,Port-channel21.3722,10.195.15.1,,pp3off-cde-lan08,255.255.255.0,100
up,,Port-channel21.3723,10.195.16.1,,pp3off-cde-lan09,255.255.255.0,100
up,,Port-channel21.3724,10.195.17.1,,pp3off-cde-lan10,255.255.255.0,100
up,,Port-channel21.3725,10.195.18.1,,pp3off-cde-lan11,255.255.255.0,100
up,,Port-channel21.3726,10.195.19.1,,pp3off-cde-lan12,255.255.255.0,100
up,,Port-channel21.3727,10.195.20.1,,pp3off-cde-lan13,255.255.255.0,100
up,,Port-channel21.3728,10.195.21.1,,pp3off-cde-lan14,255.255.255.0,100
up,,Port-channel21.3729,10.195.22.1,,pp3off-cde-lan15,255.255.255.0,100
up,,Port-channel21.3730,10.195.23.1,,pp3off-cde-lan16,255.255.255.0,100
up,,Port-channel21.3758,10.195.65.1,,pp3off-noncde-deployment-lan,255.255.255.0,100
up,,Port-channel21.3759,10.195.66.1,,pp3off-noncde-web1-lan,255.255.255.0,100
up,,Port-channel21.3760,10.195.67.1,,pp3off-noncde-app1-lan,255.255.255.0,100
up,,Port-channel21.3761,10.195.68.1,,pp3off-noncde-lan01,255.255.255.0,100
up,,Port-channel21.3762,10.195.69.1,,pp3off-noncde-lan02,255.255.255.0,100
up,,Port-channel21.3763,10.195.70.1,,pp3off-noncde-lan03,255.255.255.0,100
up,,Port-channel21.3764,10.195.71.1,,pp3off-noncde-lan04,255.255.255.0,100
up,,Port-channel21.3765,10.195.72.1,,pp3off-noncde-lan05,255.255.255.0,100
up,,Port-channel21.3766,10.195.73.1,,pp3off-noncde-lan06,255.255.255.0,100
up,,Port-channel21.3767,10.195.74.1,,pp3off-noncde-lan07,255.255.255.0,100
up,,Port-channel21.3768,10.195.75.1,,pp3off-noncde-lan08,255.255.255.0,100
up,,Port-channel21.3769,10.195.76.1,,pp3off-noncde-lan09,255.255.255.0,100
up,,Port-channel21.3770,10.195.77.1,,pp3off-noncde-lan10,255.255.255.0,100
up,,Port-channel21.3771,10.195.78.1,,pp3off-noncde-app2-lan,255.255.255.0,100
up,,Port-channel21.3772,10.195.79.1,,pp3off-noncde-app3-lan,255.255.255.0,100
up,,Port-channel21.3773,10.195.80.1,,pp3off-noncde-app4-lan,255.255.255.0,100
up,,Port-channel21.3774,10.195.81.1,,pp3off-noncde-app5-lan,255.255.255.0,100
up,,Port-channel21.3775,10.195.82.1,,pp3off-noncde-app6-lan,255.255.255.0,100
up,,Port-channel21.3776,10.195.83.1,,pp3off-noncde-app7-lan,255.255.255.0,100
up,,Port-channel21.3777,10.195.84.1,,pp3off-noncde-app8-lan,255.255.255.0,100
up,,Port-channel21.3778,10.195.85.1,,pp3off-noncde-app9-lan,255.255.255.0,100
up,,Port-channel21.3779,10.195.86.1,,pp3off-noncde-app10-lan,255.255.255.0,100
up,,Port-channel21.3780,10.195.87.1,,pp3off-noncde-app11-lan,255.255.255.0,100
