hostname,acl-name,acl-type,seq number,action,protocol,source,destination,ports
mt-msc-cr02,solarwinds-new,Standard,10,permit,,10.112.12.126,,,
mt-msc-cr02,solarwinds-new,Standard,20,permit,,10.112.12.125,,,
mt-msc-cr02,solarwinds-new,Standard,30,permit,,10.120.163.143,,,
mt-msc-cr02,solarwinds-new,Standard,40,permit,,10.120.163.142,,,
mt-msc-cr02,solarwinds-new,Standard,50,permit,,10.120.163.123,,,
mt-msc-cr02,solarwinds-new,Standard,60,permit,,10.120.163.122,,,
mt-msc-cr02,solarwinds-new,Standard,70,permit,,10.112.12.144,,,
mt-msc-cr02,solarwinds-new,Standard,80,permit,,10.112.12.142,,,
mt-msc-cr02,solarwinds-new,Standard,90,permit,,10.112.12.143,,,
mt-msc-cr02,solarwinds-new,Standard,100,deny,,any log,,,
mt-msc-cr02,1,Standard,10,permit,,10.120.163.210,,,
mt-msc-cr02,1,Standard,20,permit,,10.1.74.66,,,
mt-msc-cr02,1,Standard,30,permit,,10.180.163.18,,,
mt-msc-cr02,1,Standard,40,permit,,10.120.163.151,,,
mt-msc-cr02,1,Standard,50,permit,,10.210.163.60,,,
mt-msc-cr02,1,Standard,60,permit,,10.120.163.152,,,
mt-msc-cr02,1,Standard,70,permit,,10.1.74.29,,,
mt-msc-cr02,1,Standard,80,permit,,10.112.13.17,,,
mt-msc-cr02,1,Standard,90,permit,,10.1.74.48,,,
mt-msc-cr02,1,Standard,100,permit,,10.1.74.57,,,
mt-msc-cr02,1,Standard,110,permit,,10.1.74.61,,,
mt-msc-cr02,1,Standard,120,permit,,10.120.195.31,,,
mt-msc-cr02,1,Standard,130,permit,,10.120.143.70,,,
mt-msc-cr02,1,Standard,140,permit,,10.1.74.128,,,
mt-msc-cr02,1,Standard,150,permit,,10.180.142.230,,,
mt-msc-cr02,1,Standard,160,permit,,10.120.163.37,,,
mt-msc-cr02,1,Standard,170,permit,,10.1.82.64 0.0.0.31,,,
mt-msc-cr02,1,Standard,180,permit,,10.1.22.0 0.0.0.255,,,
mt-msc-cr02,1,Standard,190,permit,,192.168.2.0 0.0.1.255,,,
mt-msc-cr02,1,Standard,200,permit,,10.210.141.40 0.0.0.7,,,
mt-msc-cr02,1,Standard,210,permit,,10.180.141.40 0.0.0.7,,,
mt-msc-cr02,1,Standard,220,permit,,10.120.141.40 0.0.0.7,,,
mt-msc-cr02,1,Standard,230,deny,,any log,,,
mt-msc-cr02,10,Standard,10,permit,,10.120.163.210,,,
mt-msc-cr02,10,Standard,20,permit,,10.112.12.126,,,
mt-msc-cr02,10,Standard,30,permit,,10.210.163.71,,,
mt-msc-cr02,10,Standard,40,permit,,10.112.12.12,,,
mt-msc-cr02,10,Standard,50,permit,,10.120.163.123,,,
mt-msc-cr02,10,Standard,60,permit,,10.120.163.122,,,
mt-msc-cr02,10,Standard,70,permit,,10.120.163.59,,,
mt-msc-cr02,11,Standard,10,permit,,10.120.136.140,,,
mt-msc-cr02,11,Standard,20,permit,,10.50.3.140,,,
mt-msc-cr02,12,Standard,10,permit,,10.220.163.112,,,
mt-msc-cr02,12,Standard,20,permit,,10.220.163.111,,,
mt-msc-cr02,12,Standard,30,permit,,10.180.163.112,,,
mt-msc-cr02,12,Standard,40,permit,,10.180.163.111,,,
mt-msc-cr02,12,Standard,50,permit,,10.220.163.247,,,
mt-msc-cr02,12,Standard,60,permit,,10.210.163.247,,,
mt-msc-cr02,12,Standard,70,permit,,10.180.163.247,,,
mt-msc-cr02,12,Standard,80,permit,,10.120.163.61,,,
mt-msc-cr02,12,Standard,90,permit,,10.120.163.62,,,
mt-msc-cr02,12,Standard,100,permit,,10.1.14.0 0.0.0.255,,,
mt-msc-cr02,16,Standard,10,permit,,10.120.163.206,,,
mt-msc-cr02,22,Standard,10,permit,,10.112.12.119,,,
mt-msc-cr02,22,Standard,20,permit,,10.210.143.80,,,
mt-msc-cr02,22,Standard,30,permit,,10.120.143.80,,,
mt-msc-cr02,22,Standard,40,permit,,10.180.142.232,,,
