admin-state,description,interface,ip-add,mac-address,nameif,netmask,security-level
up,,Port-channel1.338,10.114.143.193,0200.0101.0101,crypto-tier,255.255.255.224,100
up,,Port-channel1.309,10.114.136.1,0200.0101.0101,proxy-tier,255.255.255.0,100
up,,Port-channel1.313,10.114.139.33,0200.0101.0101,TMG,255.255.255.224,100
up,,Port-channel1.321,10.114.141.1,0200.0101.0101,WHCJumphostMgt,255.255.255.0,100
up,,Port-channel1.308,10.114.135.1,0200.0101.0101,PerformanceTestDB-tier,255.255.255.0,100
up,,Port-channel1.320,10.114.140.1,0200.0101.0101,Stingray-Mgt,255.255.255.0,100
up,,Port-channel1.304,10.114.132.1,0200.0101.0101,applications-tier,255.255.255.0,100
up,,Port-channel1.318,10.114.139.193,0200.0101.0101,proofpoint-manager,255.255.255.224,100
up,,Port-channel1.310,10.114.137.1,0200.0101.0101,backoffice-tier,255.255.255.0,100
up,,Port-channel1.305,10.114.133.1,0200.0101.0101,database-tier,255.255.255.0,100
up,,Port-channel1.306,10.114.134.1,0200.0101.0101,citrix,255.255.255.128,100
up,,Port-channel1.316,10.114.139.129,0200.0101.0101,hdr-tier,255.255.255.224,100
up,,Port-channel1.339,10.114.143.225,0200.0101.0101,PTE-HDR,255.255.255.224,100
up,,Port-channel1.334,10.114.143.65,0200.0101.0101,sftp-tier,255.255.255.224,100
up,,Port-channel1.311,10.114.138.1,0200.0101.0101,vmware-esx,255.255.255.0,100
up,,Port-channel1.324,10.114.142.1,0200.0101.0101,dr-cde-jumphost,255.255.255.224,100
up,,Port-channel1.303,10.114.131.1,0200.0101.0101,web-tier,255.255.255.0,100
up,,Port-channel1.375,10.114.160.164,0200.0101.0101,internal-vrf,255.255.255.224,100
