hostname,name,type,seq number,remark,action,src_service_obj,src_service_obj_grp,protocol,src_host,src_network_obj,src_network_obj_grp,src_network,dest_host,dest_network_obj,dest_network_obj_grp,dest_network,dest_port,dest_port_obj_grp,dest_port_range,logging_level,logging_interval,status
uk-sc1-fw01-sec,CAPTURE3,extended,1,,permit,,,tcp,10.1.106.3,,,,10.120.180.144,,,,21299,,,,,active
uk-sc1-fw01-sec,CAPTURE3,extended,2,,permit,,,tcp,10.1.106.203,,,,10.120.180.145,,,,21299,,,,,active
uk-sc1-fw01-sec,CAPTURE3,extended,3,,permit,,,tcp,10.120.180.145,,,,,,,,21299,,,,,active
uk-sc1-fw01-sec,group-vrf_access_in,extended,1,,permit,,,ip,,,,any4,,,,any4,,,,,,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,1,CHG0115229,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,2,,deny,,,ip,,,Corp-WiFi-Subnets,,,,,any,,,,informational,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,3,CHG0018398,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,4,,permit,,TCPUDP,,,,DM_INLINE_NETWORK_52,,,,RFC-1918,,domain,,,informational,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,5,CHG0018398,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,6,,permit,,,tcp,,,DM_INLINE_NETWORK_54,,,,RFC-1918,,,wsus-ports,,notifications,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,7,,permit,,,tcp,,,DM_INLINE_NETWORK_136,,,,,,55888,,,,,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,8,CHG0018398,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,9,,permit,,,tcp,10.120.163.106,,,,,,RFC-1918,,www,,,informational,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,10,CHG0018398,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,11,,permit,,,tcp,,,DM_INLINE_NETWORK_55,,,,RFC-1918,,,DM_INLINE_TCP_12,,informational,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,12,CHG0018398,,,,,,,,,,,,,,,,,,
