hostname,context,ip address,source int,community,poll/trap,version
uk-ld6-fw02-pri,admin,10.120.136.15,management,hDYLnj06f0ka,poll,2c
uk-ld6-fw02-pri,admin,10.120.163.111,management,hDYLnj06f0ka,both,2c
uk-ld6-fw02-pri,admin,10.120.163.112,management,hDYLnj06f0ka,both,2c
uk-ld6-fw02-pri,admin,10.120.163.13,management,hDYLnj06f0ka,poll,2c
uk-ld6-fw02-pri,admin,10.120.163.206,management,hDYLnj06f0ka,both,2c
uk-ld6-fw02-pri,admin,10.120.163.210,management,hDYLnj06f0ka,poll,2c
uk-ld6-fw02-pri,admin,10.210.163.247,management,hDYLnj06f0ka,trap,2c
uk-ld6-fw02-pri,admin,10.120.163.59,management,m0squ1t0,both,2c
uk-ld6-fw02-pri,admin,10.112.129.45,management,juzusl4e11crIphigAQl,both,2c
uk-ld6-fw02-pri,admin,10.120.129.45,management,juzusl4e11crIphigAQl,both,2c
uk-ld6-fw02-pri,pte-external,10.120.136.15,pte-internal-vrf,q1wlheMBV5py,poll,2c
uk-ld6-fw02-pri,pte-external,10.120.163.206,pte-internal-vrf,q1wlheMBV5py,both,2c
uk-ld6-fw02-pri,pte-external,10.120.163.210,pte-internal-vrf,q1wlheMBV5py,poll,2c
uk-ld6-fw02-pri,pte-external,10.120.163.59,pte-internal-vrf,m0squ1t0,both,2c
uk-ld6-fw02-pri,production-external,10.120.163.59,inside,m0squ1t0,both,2c
