hostname,name,type,seq number,remark,action,src_service_obj,src_service_obj_grp,protocol,src_host,src_network_obj,src_network_obj_grp,src_network,dest_host,dest_network_obj,dest_network_obj_grp,dest_network,dest_port,dest_port_obj_grp,dest_port_range,logging_level,logging_interval,status
uk-sc1-fw01-sec,edge-mgmt_access_in,extended,1,CHG0115229,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,edge-mgmt_access_in,extended,2,,deny,,,ip,,,Corp-WiFi-Subnets,,,,,any,,,,informational,300,inactive
uk-sc1-fw01-sec,edge-mgmt_access_in,extended,3,CHG0053307,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,edge-mgmt_access_in,extended,4,,permit,,,udp,,,DM_INLINE_NETWORK_159,,,,DM_INLINE_NETWORK_160,,ntp,,,,,active
uk-sc1-fw01-sec,edge-mgmt_access_in,extended,5,CHG0022992,CHG0015230,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,edge-mgmt_access_in,extended,6,,permit,,,udp,,edge-mgmt-network-27,,,,,DM_INLINE_NETWORK_106,,,DM_INLINE_UDP_2,,notifications,300,active
uk-sc1-fw01-sec,edge-mgmt_access_in,extended,7,CHG0033315,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,edge-mgmt_access_in,extended,8,,permit,,,tcp,,edge-mgmt-network-27,,,,,ACS_Servers,,tacacs,,,informational,300,active
uk-sc1-fw01-sec,edge-mgmt_access_in,extended,9,CHG0136821,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,edge-mgmt_access_in,extended,10,,permit,,DM_INLINE_SERVICE_39,,,,DM_INLINE_NETWORK_33,,,brsapprcmg002,,,,,,informational,300,active
uk-sc1-fw01-sec,edge-mgmt_access_in,extended,11,CHG0139988,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,edge-mgmt_access_in,extended,12,,permit,,,udp,,,grp-sc1-edge-devices,,,sc1uxpremn004.prod.williamhill.plc,,,syslog,,,,,active
uk-sc1-fw01-sec,edge-mgmt_access_in,extended,13,CHG0141345,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,edge-mgmt_access_in,extended,14,,permit,,,udp,,jabber-scc-vcse-mgmt,,,10.210.194.83,,,,,DM_INLINE_UDP_3,,informational,300,active
uk-sc1-fw01-sec,edge-mgmt_access_in,extended,15,CHG0141345,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,edge-mgmt_access_in,extended,16,,permit,,,tcp,,jabber-scc-vcse-mgmt,,,10.210.194.83,,,,,DM_INLINE_TCP_81,,informational,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,1,Deny Rule - CHG0115229,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,2,,deny,,,ip,,,Corp-WiFi-Subnets,,,,,any,,,,informational,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,3,chg0033456,CHG0058571,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,4,CHG0140904,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,5,,permit,,,tcp,,,grp-idam-sftp-access,,,sc1uxprein14.prod.williamhill.plc,,,ssh,,,informational,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,6,CHG0137956,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,7,,permit,,,tcp,,ld6-ncde_db-general-db,,,,,DM_INLINE_NETWORK_54,,,DM_INLINE_TCP_45,,informational,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,8,,permit,,,tcp,,,DM_INLINE_NETWORK_168,,,,DM_INLINE_NETWORK_169,,ssh,,,,,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,9,,permit,,,tcp,,,sailpoint-group,,,sc1uxprein14.prod.williamhill.plc,,,ssh,,,informational,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,10,CHG0132959,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,11,,permit,,,tcp,,gibux950,,,,,DM_INLINE_NETWORK_9,,ssh,,,informational,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,12,CHG0132959,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,13,,permit,,,tcp,,OB-vpn-range,,,,,DM_INLINE_NETWORK_177,,ssh,,,informational,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,14,CHG0065642, PCI Q4 2018,PCI-Q2-2019,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,15,,permit,,,tcp,,,DM_INLINE_NETWORK_200,,,sc1wnprgdb02,,,1433,,,,,active
