hostname,acl-name,acl-type,seq number,action,protocol,source,destination,ports
uk-stj-f1c1-sw1,solarwinds-new,Standard,10,permit,,10.112.12.126,,,
uk-stj-f1c1-sw1,solarwinds-new,Standard,20,permit,,10.112.12.125,,,
uk-stj-f1c1-sw1,solarwinds-new,Standard,30,permit,,10.120.163.143,,,
uk-stj-f1c1-sw1,solarwinds-new,Standard,40,permit,,10.120.163.142,,,
uk-stj-f1c1-sw1,solarwinds-new,Standard,50,permit,,10.120.163.123,,,
uk-stj-f1c1-sw1,solarwinds-new,Standard,60,permit,,10.120.163.122,,,
uk-stj-f1c1-sw1,solarwinds-new,Standard,70,permit,,10.112.12.144,,,
uk-stj-f1c1-sw1,solarwinds-new,Standard,80,permit,,10.112.12.142,,,
uk-stj-f1c1-sw1,solarwinds-new,Standard,90,permit,,10.112.12.143,,,
uk-stj-f1c1-sw1,solarwinds-new,Standard,100,deny,,any log,,,
uk-stj-f1c1-sw1,AutoQos-4.0-wlan-Acl-Bulk-Data,Extended,10,permit,tcp,any,any,22
uk-stj-f1c1-sw1,AutoQos-4.0-wlan-Acl-Bulk-Data,Extended,20,permit,tcp,any,any,465
uk-stj-f1c1-sw1,AutoQos-4.0-wlan-Acl-Bulk-Data,Extended,30,permit,tcp,any,any,143
uk-stj-f1c1-sw1,AutoQos-4.0-wlan-Acl-Bulk-Data,Extended,40,permit,tcp,any,any,993
uk-stj-f1c1-sw1,AutoQos-4.0-wlan-Acl-Bulk-Data,Extended,50,permit,tcp,any,any,995
uk-stj-f1c1-sw1,AutoQos-4.0-wlan-Acl-Bulk-Data,Extended,60,permit,tcp,any,any,1914
uk-stj-f1c1-sw1,AutoQos-4.0-wlan-Acl-Bulk-Data,Extended,70,permit,tcp,any,any,ftp
uk-stj-f1c1-sw1,AutoQos-4.0-wlan-Acl-Bulk-Data,Extended,80,permit,tcp,any,any,ftp-data
uk-stj-f1c1-sw1,AutoQos-4.0-wlan-Acl-Bulk-Data,Extended,90,permit,tcp,any,any,smtp
uk-stj-f1c1-sw1,AutoQos-4.0-wlan-Acl-Bulk-Data,Extended,100,permit,tcp,any,any,pop3
uk-stj-f1c1-sw1,AutoQos-4.0-wlan-Acl-MultiEnhanced-Conf,Extended,10,permit,udp,any,any,
uk-stj-f1c1-sw1,AutoQos-4.0-wlan-Acl-MultiEnhanced-Conf,Extended,20,permit,tcp,any,any,
uk-stj-f1c1-sw1,AutoQos-4.0-wlan-Acl-Scavanger,Extended,10,permit,tcp,any,any,
uk-stj-f1c1-sw1,AutoQos-4.0-wlan-Acl-Scavanger,Extended,20,permit,udp,any,any,
uk-stj-f1c1-sw1,AutoQos-4.0-wlan-Acl-Scavanger,Extended,30,permit,tcp,any,any,
uk-stj-f1c1-sw1,AutoQos-4.0-wlan-Acl-Scavanger,Extended,40,permit,tcp,any,any,
uk-stj-f1c1-sw1,AutoQos-4.0-wlan-Acl-Scavanger,Extended,50,permit,tcp,any,any,1214
