hostname,acl-name,acl-type,seq number,action,protocol,source,destination,ports
uk-sov-ms01,1,Standard,10,permit,,10.120.163.210,,,
uk-sov-ms01,1,Standard,20,permit,,10.1.74.66,,,
uk-sov-ms01,1,Standard,30,permit,,10.112.12.126,,,
uk-sov-ms01,1,Standard,40,permit,,10.112.12.125,,,
uk-sov-ms01,1,Standard,50,permit,,10.180.163.18,,,
uk-sov-ms01,1,Standard,60,permit,,10.120.163.151,,,
uk-sov-ms01,1,Standard,70,permit,,10.210.163.60,,,
uk-sov-ms01,1,Standard,80,permit,,10.120.163.152,,,
uk-sov-ms01,1,Standard,90,permit,,10.1.74.29,,,
uk-sov-ms01,1,Standard,100,permit,,10.120.163.143,,,
uk-sov-ms01,1,Standard,110,permit,,10.120.163.142,,,
uk-sov-ms01,1,Standard,120,permit,,10.112.13.17,,,
uk-sov-ms01,1,Standard,130,permit,,10.1.74.48,,,
uk-sov-ms01,1,Standard,140,permit,,10.1.74.57,,,
uk-sov-ms01,1,Standard,150,permit,,10.1.74.61,,,
uk-sov-ms01,1,Standard,160,permit,,10.120.163.123,,,
uk-sov-ms01,1,Standard,170,permit,,10.120.163.122,,,
uk-sov-ms01,1,Standard,180,permit,,10.120.195.31,,,
uk-sov-ms01,1,Standard,190,permit,,10.120.143.70,,,
uk-sov-ms01,1,Standard,200,permit,,10.1.74.128,,,
uk-sov-ms01,1,Standard,210,permit,,10.180.142.230,,,
uk-sov-ms01,1,Standard,220,permit,,10.112.12.144,,,
uk-sov-ms01,1,Standard,230,permit,,10.120.163.37,,,
uk-sov-ms01,1,Standard,240,permit,,10.112.12.142,,,
uk-sov-ms01,1,Standard,250,permit,,10.112.12.143,,,
uk-sov-ms01,1,Standard,260,permit,,10.1.82.64 0.0.0.31,,,
uk-sov-ms01,1,Standard,270,permit,,10.1.22.0 0.0.0.255,,,
uk-sov-ms01,1,Standard,280,permit,,192.168.2.0 0.0.1.255,,,
uk-sov-ms01,1,Standard,290,permit,,10.210.141.40 0.0.0.7,,,
uk-sov-ms01,1,Standard,300,permit,,10.180.141.40 0.0.0.7,,,
uk-sov-ms01,1,Standard,310,permit,,10.120.141.40 0.0.0.7,,,
uk-sov-ms01,1,Standard,320,permit,,100.79.0.0 0.0.127.255,,,
uk-sov-ms01,1,Standard,330,deny,,any log,,,
uk-sov-ms01,10,Standard,10,permit,,10.120.163.210,,,
uk-sov-ms01,10,Standard,20,permit,,10.112.12.126,,,
uk-sov-ms01,10,Standard,30,permit,,10.112.12.125,,,
uk-sov-ms01,10,Standard,40,permit,,10.120.163.123,,,
uk-sov-ms01,10,Standard,50,permit,,10.120.163.122,,,
uk-sov-ms01,10,Standard,60,permit,,10.120.163.59,,,
uk-sov-ms01,11,Standard,10,permit,,10.112.12.126,,,
uk-sov-ms01,11,Standard,20,permit,,10.112.12.125,,,
uk-sov-ms01,11,Standard,30,permit,,10.120.136.140,,,
uk-sov-ms01,11,Standard,40,permit,,10.120.163.123,,,
uk-sov-ms01,11,Standard,50,permit,,10.120.163.122,,,
uk-sov-ms01,11,Standard,60,permit,,10.50.3.140,,,
uk-sov-ms01,11,Standard,70,deny,,any log,,,
uk-sov-ms01,12,Standard,10,permit,,10.220.163.112,,,
uk-sov-ms01,12,Standard,20,permit,,10.220.163.111,,,
uk-sov-ms01,12,Standard,30,permit,,10.180.163.112,,,
uk-sov-ms01,12,Standard,40,permit,,10.180.163.111,,,
uk-sov-ms01,12,Standard,50,permit,,10.120.163.112,,,
uk-sov-ms01,12,Standard,60,permit,,10.110.163.111,,,
uk-sov-ms01,12,Standard,70,permit,,10.110.163.112,,,
uk-sov-ms01,12,Standard,80,permit,,10.120.163.111,,,
uk-sov-ms01,12,Standard,90,deny,,any log,,,
uk-sov-ms01,22,Standard,10,permit,,10.112.12.119,,,
uk-sov-ms01,22,Standard,20,permit,,10.210.143.80,,,
uk-sov-ms01,22,Standard,30,permit,,10.120.143.80,,,
uk-sov-ms01,22,Standard,40,permit,,10.180.142.232,,,
uk-sov-ms01,24,Standard,10,permit,,10.112.129.45,,,
uk-sov-ms01,24,Standard,20,permit,,10.120.129.45,,,
uk-sov-ms01,24,Standard,30,deny,,any log,,,
uk-sov-ms01,25,Standard,10,permit,,10.112.12.126,,,
uk-sov-ms01,25,Standard,20,permit,,10.112.12.125,,,
uk-sov-ms01,25,Standard,30,permit,,10.120.163.143,,,
uk-sov-ms01,25,Standard,40,permit,,10.120.163.142,,,
uk-sov-ms01,25,Standard,50,permit,,10.120.163.123,,,
uk-sov-ms01,25,Standard,60,permit,,10.120.163.122,,,
uk-sov-ms01,25,Standard,70,permit,,10.112.12.144,,,
uk-sov-ms01,25,Standard,80,permit,,10.112.12.142,,,
uk-sov-ms01,25,Standard,90,permit,,10.112.12.143,,,
uk-sov-ms01,25,Standard,100,deny,,any log,,,
