hostname,acl-name,acl-type,seq number,action,protocol,source,destination,ports
uk-cwk-oob-spoke01,solarwinds-new,Standard,10,permit,,10.112.12.126,,,
uk-cwk-oob-spoke01,solarwinds-new,Standard,20,permit,,10.112.12.125,,,
uk-cwk-oob-spoke01,solarwinds-new,Standard,30,permit,,10.120.163.143,,,
uk-cwk-oob-spoke01,solarwinds-new,Standard,40,permit,,10.120.163.142,,,
uk-cwk-oob-spoke01,solarwinds-new,Standard,50,permit,,10.120.163.123,,,
uk-cwk-oob-spoke01,solarwinds-new,Standard,60,permit,,10.120.163.122,,,
uk-cwk-oob-spoke01,solarwinds-new,Standard,70,permit,,10.112.12.144,,,
uk-cwk-oob-spoke01,solarwinds-new,Standard,80,permit,,10.112.12.142,,,
uk-cwk-oob-spoke01,solarwinds-new,Standard,90,permit,,10.112.12.143,,,
uk-cwk-oob-spoke01,solarwinds-new,Standard,100,deny,,any log,,,
uk-cwk-oob-spoke01,ALLOWED_TRAFFIC,Extended,10,permit,tcp,object-group ALLOWED_TRAFFIC,any,22
uk-cwk-oob-spoke01,ALLOWED_TRAFFIC,Extended,20,permit,tcp,object-group ALLOWED_TRAFFIC,any,telnet
uk-cwk-oob-spoke01,ALLOWED_TRAFFIC,Extended,30,permit,tcp,object-group ALLOWED_TRAFFIC,any,443
uk-cwk-oob-spoke01,ALLOWED_TRAFFIC,Extended,40,permit,icmp,any,any,
uk-cwk-oob-spoke01,ALLOWED_TRAFFIC,Extended,50,permit,udp,host 10.120.136.140,host 10.1.98.17,snmp
uk-cwk-oob-spoke01,ALLOWED_TRAFFIC,Extended,60,deny,ip,any,any,
uk-cwk-oob-spoke01,MANAGEMENT-ACCESS,Extended,10,permit,tcp,object-group users,any,22
uk-cwk-oob-spoke01,MANAGEMENT-ACCESS,Extended,20,permit,tcp,object-group users,any,telnet
uk-cwk-oob-spoke01,MANAGEMENT-ACCESS,Extended,30,permit,tcp,object-group users,any,443
uk-cwk-oob-spoke01,MANAGEMENT-ACCESS,Extended,40,permit,icmp,object-group users,any,
uk-cwk-oob-spoke01,MANAGEMENT-ACCESS,Extended,100,deny,ip,any,any,
uk-cwk-oob-spoke01,dmvpn-hosts-in,Extended,10,permit,udp,object-group oob-routers,object-group oob-routers,isakmp
uk-cwk-oob-spoke01,dmvpn-hosts-in,Extended,30,permit,icmp,object-group oob-routers,object-group oob-routers,
uk-cwk-oob-spoke01,dmvpn-hosts-in,Extended,40,deny,ip,any,any,
uk-cwk-oob-spoke01,esp-inspect-bypass,Extended,10,permit,esp,object-group oob-routers,object-group oob-routers,
uk-cwk-oob-spoke01,esp-inspect-bypass,Extended,100,deny,ip,any,any,
uk-cwk-oob-spoke01,mgmt-access,HAS,NO,LINE,ITEMS,DEFINED,,,
uk-cwk-oob-spoke01,1,Standard,10,permit,,10.120.163.210,,,
uk-cwk-oob-spoke01,1,Standard,20,permit,,10.1.74.66,,,
uk-cwk-oob-spoke01,1,Standard,30,permit,,10.112.12.126,,,
uk-cwk-oob-spoke01,1,Standard,40,permit,,94.10.62.99,,,
uk-cwk-oob-spoke01,1,Standard,50,permit,,10.112.12.125,,,
uk-cwk-oob-spoke01,1,Standard,60,permit,,10.180.163.18,,,
uk-cwk-oob-spoke01,1,Standard,70,permit,,10.120.163.151,,,
uk-cwk-oob-spoke01,1,Standard,80,permit,,10.210.163.60,,,
uk-cwk-oob-spoke01,1,Standard,90,permit,,10.120.163.152,,,
uk-cwk-oob-spoke01,1,Standard,100,permit,,10.1.74.29,,,
uk-cwk-oob-spoke01,1,Standard,110,permit,,10.120.163.143,,,
uk-cwk-oob-spoke01,1,Standard,120,permit,,10.120.163.142,,,
uk-cwk-oob-spoke01,1,Standard,130,permit,,10.112.13.17,,,
uk-cwk-oob-spoke01,1,Standard,140,permit,,10.1.74.48,,,
uk-cwk-oob-spoke01,1,Standard,150,permit,,10.1.74.57,,,
uk-cwk-oob-spoke01,1,Standard,160,permit,,10.1.74.61,,,
uk-cwk-oob-spoke01,1,Standard,170,permit,,10.120.163.123,,,
uk-cwk-oob-spoke01,1,Standard,180,permit,,10.120.163.122,,,
uk-cwk-oob-spoke01,1,Standard,190,permit,,10.120.195.31,,,
uk-cwk-oob-spoke01,1,Standard,200,permit,,10.120.143.70,,,
uk-cwk-oob-spoke01,1,Standard,210,permit,,10.1.74.128,,,
uk-cwk-oob-spoke01,1,Standard,220,permit,,10.180.142.230,,,
uk-cwk-oob-spoke01,1,Standard,230,permit,,10.112.12.144,,,
uk-cwk-oob-spoke01,1,Standard,240,permit,,10.120.163.37,,,
uk-cwk-oob-spoke01,1,Standard,250,permit,,10.112.12.142,,,
uk-cwk-oob-spoke01,1,Standard,260,permit,,10.112.12.143,,,
uk-cwk-oob-spoke01,1,Standard,270,permit,,10.1.82.64 0.0.0.31,,,
uk-cwk-oob-spoke01,1,Standard,280,permit,,10.1.22.0 0.0.0.255,,,
uk-cwk-oob-spoke01,1,Standard,290,permit,,192.168.2.0 0.0.1.255,,,
uk-cwk-oob-spoke01,1,Standard,300,permit,,10.210.141.40 0.0.0.7,,,
uk-cwk-oob-spoke01,1,Standard,310,permit,,10.180.141.40 0.0.0.7,,,
uk-cwk-oob-spoke01,1,Standard,320,permit,,10.120.141.40 0.0.0.7,,,
uk-cwk-oob-spoke01,1,Standard,330,permit,,100.79.0.0 0.0.127.255,,,
uk-cwk-oob-spoke01,1,Standard,340,deny,,any log,,,
uk-cwk-oob-spoke01,10,Standard,10,permit,,10.120.163.210,,,
uk-cwk-oob-spoke01,10,Standard,20,permit,,10.112.12.126,,,
uk-cwk-oob-spoke01,10,Standard,30,permit,,10.112.12.125,,,
uk-cwk-oob-spoke01,10,Standard,40,permit,,10.120.163.71,,,
uk-cwk-oob-spoke01,10,Standard,50,permit,,10.120.163.123,,,
uk-cwk-oob-spoke01,10,Standard,60,permit,,10.120.163.122,,,
uk-cwk-oob-spoke01,10,Standard,70,permit,,10.120.163.59,,,
uk-cwk-oob-spoke01,10,Standard,80,permit,,10.110.163.59,,,
uk-cwk-oob-spoke01,11,Standard,10,permit,,10.120.136.140,,,
uk-cwk-oob-spoke01,11,Standard,20,permit,,10.50.3.140,,,
uk-cwk-oob-spoke01,11,Standard,30,deny,,any log,,,
