hostname,name,type,seq number,remark,action,src_service_obj,src_service_obj_grp,protocol,src_host,src_network_obj,src_network_obj_grp,src_network,dest_host,dest_network_obj,dest_network_obj_grp,dest_network,dest_port,dest_port_obj_grp,dest_port_range,logging_level,logging_interval,status
uk-sc1-fw01-sec,monitoring_access_in,extended,1,"CHG00xxxxx",,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,monitoring_access_in,extended,2,,permit,,TCPUDP,,,,,10.120.163.0 255.255.255.0,,,grp_RFC1918,,,,,informational,300,active
uk-sc1-fw01-sec,monitoring_access_in,extended,3,"drop all rule",,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,monitoring_access_in,extended,4,,deny,,,ip,,,,any4,,,,any4,,,,informational,300,active
uk-sc1-fw01-sec,monitoring_access_in,extended,5,CHG0103009,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,monitoring_access_in,extended,6,,permit,,,tcp,,sc1uxprein04,,,,,sc1uxprnap43-4.mgmt,,ssh,,,informational,300,active
uk-sc1-fw01-sec,global_access,extended,1,CHG0141979 -  wide access on prem due to specific rules in sddc,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,global_access,extended,2,,permit,,,ip,,,vmc-sddcs,,,,,any4,,,,informational,300,active
uk-sc1-fw01-sec,global_access,extended,3,,permit,,,ip,,,,any4,,,vmc-sddcs,,,,,informational,300,active
uk-sc1-fw01-sec,global_access,extended,4,CHG0142763,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,global_access,extended,5,,permit,,splunk_indexing_port-CHG0142763,,,,wh_nets-CHG0142763,,,,splunk_heavy_forwarders-CHG0142763,,,,,informational,300,active
uk-sc1-fw01-sec,global_access,extended,6,CHG0142763,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,global_access,extended,7,,permit,,splunk_mgmt_port-CHG0142763,,,,wh_nets-CHG0142763,,,,splunk_deployment_server-CHG0142763,,,,,informational,300,active
uk-sc1-fw01-sec,global_access,extended,8,RAS-VPN,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,global_access,extended,9,,permit,,,ip,,,ras-vpn-pool,,,,,any,,,,,,active
uk-sc1-fw01-sec,global_access,extended,10,CHG0119266, CHG0130310,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,global_access,extended,11,,permit,,,tcp,,,DM_INLINE_NETWORK_64,,,,,10.120.0.0 255.255.0.0,,DM_INLINE_TCP_13,,informational,300,active
uk-sc1-fw01-sec,global_access,extended,12,CHG0141790,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,global_access,extended,13,,permit,,whgroup_ad_ports,,,,,any,,,whgroup_ad_servers,,,,,informational,300,active
uk-sc1-fw01-sec,global_access,extended,14,CHG0115229,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,global_access,extended,15,,deny,,,ip,,,Corp-WiFi-Subnets,,,,,any,,,,informational,300,active
uk-sc1-fw01-sec,global_access,extended,16,CHG0112231,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,global_access,extended,17,,permit,,,tcp,,,grp-scc-commvault-svrs,,,,,any,,TCP-8400-8403,,informational,300,active
uk-sc1-fw01-sec,global_access,extended,18,CHG0112231,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,global_access,extended,19,,permit,,,tcp,,,grp-ld6-commvault-svrs,,,,,any,,TCP-8400-8403,,informational,300,active
uk-sc1-fw01-sec,global_access,extended,20,CHG0121600,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,global_access,extended,21,,permit,,,tcp,,,grp-gib-commvault-svrs,,,,,any,,TCP-8400-8403,,informational,300,active
uk-sc1-fw01-sec,global_access,extended,22,CHG0112231,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,global_access,extended,23,,permit,,,tcp,,,,any,,,grp-scc-commvault-svrs,,,TCP-8400-8403,,informational,300,active
uk-sc1-fw01-sec,global_access,extended,24,CHG0112231,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,global_access,extended,25,,permit,,,tcp,,,,any,,,grp-ld6-commvault-svrs,,,TCP-8400-8403,,informational,300,active
uk-sc1-fw01-sec,global_access,extended,26,Standard rule - CHG0083747,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,global_access,extended,27,,permit,,AD-global-rule-ports,,,,,any,,,WHGROUP-AD-SERVERS,,,,,informational,300,active
uk-sc1-fw01-sec,global_access,extended,28,CHG0121600,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,global_access,extended,29,,permit,,,tcp,,,,any,,,grp-gib-commvault-svrs,,,TCP-8400-8403,,informational,300,active
uk-sc1-fw01-sec,global_access,extended,30,,permit,,,tcp,,,Athene-Servers,,,,,any4,ssh,,,,,active
uk-sc1-fw01-sec,global_access,extended,31,Wily global access - CHG0081701, CHG0092588,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,global_access,extended,32,,permit,,wily-outbound-ports,,,,wily-svrs_all,,,,wily-access-group,,,,,informational,300,active
uk-sc1-fw01-sec,global_access,extended,33,PCI Q2 2016,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,global_access,extended,34,,permit,,wily-inbound-ports,,,,wily-access-group,,,,wily-svrs_all,,,,,informational,300,active
uk-sc1-fw01-sec,global_access,extended,35,CHG0106526,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,global_access,extended,36,,permit,,Rundeck-WinRM-Ports,,,,Rundeck-Servers,,,,,any,,,,informational,300,active
uk-sc1-fw01-sec,global_access,extended,37,CHG0078639,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,global_access,extended,38,,permit,,,ip,,,,any,,,WebProxies-CX-SCC,,,,,informational,300,active
uk-sc1-fw01-sec,global_access,extended,39,Standard rule - CHG0083593,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,global_access,extended,40,,permit,,,icmp,,,,any,,,,any,,,,informational,300,active
uk-sc1-fw01-sec,global_access,extended,41,Standard rule - CHG0083506,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,global_access,extended,42,,permit,,Infoblox-Standard-Ports,,,,,any,,,Infoblox-Servers,,,,,informational,300,active
uk-sc1-fw01-sec,global_access,extended,43,CHG0097030,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,global_access,extended,44,,permit,,,tcp,,,,any4,,,MailHosts,,smtp,,,,,active
uk-sc1-fw01-sec,global_access,extended,45,CHG0095595, CHG0095744,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,global_access,extended,46,,permit,,DM_INLINE_SERVICE_6,,,,,10.120.0.0 255.255.0.0,,,DM_INLINE_NETWORK_10,,,,,informational,300,active
uk-sc1-fw01-sec,global_access,extended,47,CHG0101535,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,global_access,extended,48,,permit,,,tcp,,,DM_INLINE_NETWORK_17,,,,DM_INLINE_NETWORK_16,,,DM_INLINE_TCP_4,,,,active
uk-sc1-fw01-sec,global_access,extended,49,CHG0116053,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,global_access,extended,50,,permit,,,tcp,,,,10.0.0.0 255.0.0.0,,,DM_INLINE_NETWORK_33,,,LDAP-Service,,informational,300,active
uk-sc1-fw01-sec,global_access,extended,51,Global Rule,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,global_access,extended,52,,permit,8089,,,,,,any,,sc1uxpromn012,,,,,,informational,300,active
uk-sc1-fw01-sec,global_access,extended,53,Deny all outgoing traffic to presentation tier network,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,global_access,extended,54,,deny,,,ip,,,internal-nets,,,Net-10.120.216.0_255.255.248.0,,,,,,informational,300,active
uk-sc1-fw01-sec,global_access,extended,55,Deny all incoming traffic from the presentation tier netowkr,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,global_access,extended,56,,deny,,,ip,,Net-10.120.216.0_255.255.248.0,,,,,internal-nets,,,,,informational,300,active
uk-sc1-fw01-sec,global_access,extended,57,Temp rule to capture traffic - ask Mike Dawson,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,global_access,extended,58,,permit,,,udp,,,grp-orion-app-srvs,,,,grp-solarwind-destinations,,snmp,,,informational,300,active
uk-sc1-fw01-sec,global_access,extended,59,Temp rule to capture traffic - ask Mike Dawson,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,global_access,extended,60,,permit,,,tcp,,,grp-orion-app-srvs,,,,grp-solarwind-destinations,,,DM_INLINE_TCP_6,,informational,300,active
