hostname,acl-name,acl-type,seq number,action,protocol,source,destination,ports
uk-bfa-cs01,solarwinds-new,Standard,10,permit,,10.112.12.126,,,
uk-bfa-cs01,solarwinds-new,Standard,20,permit,,10.112.12.125,,,
uk-bfa-cs01,solarwinds-new,Standard,30,permit,,10.120.163.143,,,
uk-bfa-cs01,solarwinds-new,Standard,40,permit,,10.120.163.142,,,
uk-bfa-cs01,solarwinds-new,Standard,50,permit,,10.120.163.123,,,
uk-bfa-cs01,solarwinds-new,Standard,60,permit,,10.120.163.122,,,
uk-bfa-cs01,solarwinds-new,Standard,70,permit,,10.112.12.144,,,
uk-bfa-cs01,solarwinds-new,Standard,80,permit,,10.112.12.142,,,
uk-bfa-cs01,solarwinds-new,Standard,90,permit,,10.112.12.143,,,
uk-bfa-cs01,solarwinds-new,Standard,100,deny,,any log,,,
uk-bfa-cs01,FROM-BFA-TESTWIFI,Extended,10,permit,udp,any,host 255.255.255.255,bootps
uk-bfa-cs01,FROM-BFA-TESTWIFI,Extended,20,permit,udp,any,any,bootps
uk-bfa-cs01,FROM-BFA-TESTWIFI,Extended,30,permit,udp,10.56.228.0 0.0.0.255,host 10.210.193.235,domain
uk-bfa-cs01,FROM-BFA-TESTWIFI,Extended,40,permit,udp,10.56.228.0 0.0.0.255,host 10.210.193.235,bootps
uk-bfa-cs01,FROM-BFA-TESTWIFI,Extended,50,permit,udp,10.56.228.0 0.0.0.255,host 10.210.193.236,domain
uk-bfa-cs01,FROM-BFA-TESTWIFI,Extended,60,permit,udp,10.56.228.0 0.0.0.255,host 10.210.193.236,bootps
uk-bfa-cs01,FROM-BFA-TESTWIFI,Extended,70,permit,udp,10.56.228.0 0.0.0.255,host 10.120.193.235,domain
uk-bfa-cs01,FROM-BFA-TESTWIFI,Extended,80,permit,udp,10.56.228.0 0.0.0.255,host 10.120.193.235,bootps
uk-bfa-cs01,FROM-BFA-TESTWIFI,Extended,90,permit,udp,10.56.228.0 0.0.0.255,host 10.120.193.236,domain
uk-bfa-cs01,FROM-BFA-TESTWIFI,Extended,100,permit,udp,10.56.228.0 0.0.0.255,host 10.120.193.236,bootps
uk-bfa-cs01,FROM-BFA-TESTWIFI,Extended,110,permit,udp,10.56.228.0 0.0.0.255,host 10.120.193.238,domain
uk-bfa-cs01,FROM-BFA-TESTWIFI,Extended,120,permit,udp,10.56.228.0 0.0.0.255,host 10.120.193.239,domain
uk-bfa-cs01,FROM-BFA-TESTWIFI,Extended,130,permit,tcp,10.56.228.0 0.0.0.255,host 192.168.9.102,8080
uk-bfa-cs01,FROM-BFA-TESTWIFI,Extended,140,permit,udp,10.56.228.0 0.0.0.255,host 192.168.9.102,isakmp
uk-bfa-cs01,FROM-BFA-TESTWIFI,Extended,150,permit,udp,10.56.228.0 0.0.0.255,host 192.168.9.102,non500-isakmp
uk-bfa-cs01,FROM-BFA-TESTWIFI,Extended,160,permit,ip,10.56.228.0 0.0.0.255,host 141.138.129.40,
uk-bfa-cs01,FROM-BFA-TESTWIFI,Extended,170,permit,ip,10.56.228.0 0.0.0.255,host 95.131.184.37,
uk-bfa-cs01,FROM-BFA-TESTWIFI,Extended,180,permit,tcp,10.56.228.0 0.0.0.255,0.1.28.0 0.0.1.255,www
uk-bfa-cs01,FROM-BFA-TESTWIFI,Extended,190,permit,tcp,10.56.228.0 0.0.0.255,0.1.28.0 0.0.1.255,443
uk-bfa-cs01,FROM-BFA-TESTWIFI,Extended,200,permit,tcp,10.56.228.0 0.0.0.255,211.36.0 0.0.1.255,www
uk-bfa-cs01,FROM-BFA-TESTWIFI,Extended,210,permit,tcp,10.56.228.0 0.0.0.255,211.36.0 0.0.1.255,443
uk-bfa-cs01,FROM-BFA-TESTWIFI,Extended,220,permit,tcp,10.56.228.0 0.0.0.255,212.36.0 0.0.1.255,www
uk-bfa-cs01,FROM-BFA-TESTWIFI,Extended,230,permit,tcp,10.56.228.0 0.0.0.255,212.36.0 0.0.1.255,443
uk-bfa-cs01,FROM-BFA-TESTWIFI,Extended,240,permit,tcp,10.56.228.0 0.0.0.255,213.36.0 0.0.1.255,www
uk-bfa-cs01,FROM-BFA-TESTWIFI,Extended,250,permit,tcp,10.56.228.0 0.0.0.255,213.36.0 0.0.1.255,443
uk-bfa-cs01,FROM-BFA-TESTWIFI,Extended,260,permit,tcp,10.56.228.0 0.0.0.255,214.36.0 0.0.1.255,www
uk-bfa-cs01,FROM-BFA-TESTWIFI,Extended,270,permit,tcp,10.56.228.0 0.0.0.255,214.36.0 0.0.1.255,443
