hostname,name,type,seq number,remark,action,src_service_obj,src_service_obj_grp,protocol,src_host,src_network_obj,src_network_obj_grp,src_network,dest_host,dest_network_obj,dest_network_obj_grp,dest_network,dest_port,dest_port_obj_grp,dest_port_range,logging_level,logging_interval,status
uk-ld6-lab-fw05,global,extended,1,,permit,,AD-Services,,,,WHGROUP-AD-SERVERS,,,,WHGROUP-AD-SERVERS,,,,,informational,300,active
uk-ld6-lab-fw05,global,extended,2,,permit,,,tcp,,,Athene-Servers,,,,,10.0.0.0 255.0.0.0,ssh,,,informational,300,active
uk-ld6-lab-fw05,global,extended,3,,permit,,wily-outbound-ports,,,,wily-svrs_all,,,,wily-access-group,,,,,informational,300,active
uk-ld6-lab-fw05,global,extended,4,,permit,,wily-inbound-ports,,,,wily-access-group,,,,wily-svrs_all,,,,,informational,300,active
uk-ld6-lab-fw05,global,extended,5,,permit,,HP-OneView-Client-Services,,,,HP-ILO-Subnets,,,,HP-OneView-Servers,,,,,informational,300,active
uk-ld6-lab-fw05,global,extended,6,,permit,,HP-OneView-Server-Services,,,,HP-OneView-Servers,,,,HP-ILO-Subnets,,,,,informational,300,active
uk-ld6-lab-fw05,global,extended,7,,permit,,VMware-Access-Ports,,,,,10.0.0.0 255.0.0.0,,,vSphere_Mgmt_nets,,,,,informational,300,active
uk-ld6-lab-fw05,global,extended,8,,permit,,,ip,,,,10.0.0.0 255.0.0.0,,,vSphere_Mgmt_nets,,,,,informational,300,active
uk-ld6-lab-fw05,global,extended,9,,permit,,,udp,,,,10.0.0.0 255.0.0.0,,,uim-win,,snmptrap,,,informational,300,active
uk-ld6-lab-fw05,global,extended,10,,permit,,,tcp,,ld6-pte-10.115.0.0slash16,,,,ld6ux208,,,ssh,,,informational,300,active
uk-ld6-lab-fw05,global,extended,11,,permit,,,tcp,,,,10.0.0.0 255.0.0.0,,,DM_INLINE_NETWORK_433,,,LDAP-Services,,informational,300,active
uk-ld6-lab-fw05,global,extended,12,,permit,,,tcp,,Net-10.114.128.0_255.255.248.0-CDE-Management,,,,ld6-Injectors-net,,,www,,,informational,300,active
uk-ld6-lab-fw05,global,extended,13,,permit,,,udp,,,,10.114.129.0 255.255.255.0,,ld6wnpremn52,,,snmptrap,,,informational,300,active
uk-ld6-lab-fw05,global,extended,14,,permit,,CA_Spectrum_Mgmt,,,ld6wnpremn52,,,,,,10.114.129.0 255.255.255.0,,,,informational,300,active
uk-ld6-lab-fw05,global,extended,15,,permit,,,tcp,10.114.163.39,,,,,,ld6XIV01,,7778,,,informational,300,active
uk-ld6-lab-fw05,global,extended,16,,permit,,,ip,,,,10.0.0.0 255.0.0.0,,,DM_INLINE_NETWORK_419,,,,,informational,300,active
uk-ld6-lab-fw05,global,extended,17,,permit,,,ip,,,,10.0.0.0 255.0.0.0,,,RDS-KMS-server,,,,,informational,300,active
uk-ld6-lab-fw05,global,extended,18,,permit,,,tcp,10.114.163.27,,,,,,ld6XIV01,,7778,,,informational,300,active
uk-ld6-lab-fw05,global,extended,19,,permit,,,ip,,DR-adc-internal-api-tier,,,,,,10.114.0.0 255.255.0.0,,,,informational,300,active
