hostname,acl-name,acl-type,seq number,action,protocol,source,destination,ports
gib-mpl-ar01,solarwinds-new,Standard,10,permit,,10.112.12.126,,,
gib-mpl-ar01,solarwinds-new,Standard,20,permit,,10.112.12.125,,,
gib-mpl-ar01,solarwinds-new,Standard,30,permit,,10.120.163.143,,,
gib-mpl-ar01,solarwinds-new,Standard,40,permit,,10.120.163.142,,,
gib-mpl-ar01,solarwinds-new,Standard,50,permit,,10.120.163.123,,,
gib-mpl-ar01,solarwinds-new,Standard,60,permit,,10.120.163.122,,,
gib-mpl-ar01,solarwinds-new,Standard,70,permit,,10.112.12.144,,,
gib-mpl-ar01,solarwinds-new,Standard,80,permit,,10.112.12.142,,,
gib-mpl-ar01,solarwinds-new,Standard,90,permit,,10.112.12.143,,,
gib-mpl-ar01,solarwinds-new,Standard,100,deny,,any log,,,
gib-mpl-ar01,1,Standard,10,permit,,10.120.163.210,,,
gib-mpl-ar01,1,Standard,20,permit,,10.1.74.66,,,
gib-mpl-ar01,1,Standard,30,permit,,10.112.12.126,,,
gib-mpl-ar01,1,Standard,40,permit,,10.112.12.125,,,
gib-mpl-ar01,1,Standard,50,permit,,10.180.163.18,,,
gib-mpl-ar01,1,Standard,60,permit,,10.120.163.151,,,
gib-mpl-ar01,1,Standard,70,permit,,10.210.163.60,,,
gib-mpl-ar01,1,Standard,80,permit,,10.120.163.152,,,
gib-mpl-ar01,1,Standard,90,permit,,10.1.74.29,,,
gib-mpl-ar01,1,Standard,100,permit,,10.120.163.143,,,
gib-mpl-ar01,1,Standard,110,permit,,10.120.163.142,,,
gib-mpl-ar01,1,Standard,120,permit,,10.112.13.17,,,
gib-mpl-ar01,1,Standard,130,permit,,10.1.74.48,,,
gib-mpl-ar01,1,Standard,140,permit,,10.1.74.57,,,
gib-mpl-ar01,1,Standard,150,permit,,10.1.74.61,,,
gib-mpl-ar01,1,Standard,160,permit,,10.120.163.123,,,
gib-mpl-ar01,1,Standard,170,permit,,10.120.163.122,,,
gib-mpl-ar01,1,Standard,180,permit,,10.120.195.31,,,
gib-mpl-ar01,1,Standard,190,permit,,10.120.143.70,,,
gib-mpl-ar01,1,Standard,200,permit,,10.1.74.128,,,
gib-mpl-ar01,1,Standard,210,permit,,10.180.142.230,,,
gib-mpl-ar01,1,Standard,220,permit,,10.112.12.144,,,
gib-mpl-ar01,1,Standard,230,permit,,10.120.163.37,,,
gib-mpl-ar01,1,Standard,240,permit,,10.112.12.142,,,
gib-mpl-ar01,1,Standard,250,permit,,10.112.12.143,,,
gib-mpl-ar01,1,Standard,260,permit,,10.1.82.64 0.0.0.31,,,
gib-mpl-ar01,1,Standard,270,permit,,10.1.22.0 0.0.0.255,,,
gib-mpl-ar01,1,Standard,280,permit,,192.168.2.0 0.0.1.255,,,
gib-mpl-ar01,1,Standard,290,permit,,10.210.141.40 0.0.0.7,,,
gib-mpl-ar01,1,Standard,300,permit,,10.180.141.40 0.0.0.7,,,
gib-mpl-ar01,1,Standard,310,permit,,10.120.141.40 0.0.0.7,,,
gib-mpl-ar01,1,Standard,320,permit,,100.79.0.0 0.0.127.255,,,
gib-mpl-ar01,1,Standard,330,deny,,any log,,,
gib-mpl-ar01,10,Standard,10,permit,,10.120.163.210,,,
gib-mpl-ar01,10,Standard,20,permit,,10.112.12.126,,,
gib-mpl-ar01,10,Standard,30,permit,,10.112.12.125,,,
gib-mpl-ar01,10,Standard,40,permit,,10.120.163.123,,,
gib-mpl-ar01,10,Standard,50,permit,,10.120.163.122,,,
gib-mpl-ar01,10,Standard,60,permit,,10.120.163.59,,,
gib-mpl-ar01,11,Standard,14,permit,,10.112.12.126,,,
gib-mpl-ar01,11,Standard,13,permit,,10.112.12.125,,,
gib-mpl-ar01,11,Standard,10,permit,,10.120.136.140,,,
gib-mpl-ar01,11,Standard,12,permit,,10.120.163.123,,,
gib-mpl-ar01,11,Standard,11,permit,,10.120.163.122,,,
gib-mpl-ar01,11,Standard,20,permit,,10.50.3.140,,,
gib-mpl-ar01,11,Standard,30,deny,,any log,,,
gib-mpl-ar01,12,Standard,10,permit,,10.180.163.13,,,
gib-mpl-ar01,12,Standard,20,permit,,10.180.163.15,,,
gib-mpl-ar01,12,Standard,30,permit,,10.180.163.112,,,
gib-mpl-ar01,12,Standard,40,permit,,10.180.163.111,,,
gib-mpl-ar01,12,Standard,50,permit,,10.180.163.103,,,
gib-mpl-ar01,12,Standard,60,permit,,10.1.14.0 0.0.0.255,,,
gib-mpl-ar01,16,Standard,10,permit,,10.120.163.206,,,
gib-mpl-ar01,16,Standard,20,permit,,10.120.136.150,,,
gib-mpl-ar01,19,Standard,10,permit,,10.1.82.64 0.0.0.31,,,
gib-mpl-ar01,20,Standard,10,permit,,10.180.163.120,,,
gib-mpl-ar01,22,Standard,10,permit,,10.112.12.119,,,
gib-mpl-ar01,22,Standard,20,permit,,10.210.143.80,,,
gib-mpl-ar01,22,Standard,30,permit,,10.120.143.80,,,
gib-mpl-ar01,22,Standard,40,permit,,10.180.142.232,,,
