hostname,name,type,seq number,remark,action,src_service_obj,src_service_obj_grp,protocol,src_host,src_network_obj,src_network_obj_grp,src_network,dest_host,dest_network_obj,dest_network_obj_grp,dest_network,dest_port,dest_port_obj_grp,dest_port_range,logging_level,logging_interval,status
uk-sc1-fw01-sec,app-mgt_access_in,extended,1,CHG0115229,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,app-mgt_access_in,extended,2,,deny,,,ip,,,Corp-WiFi,,,,,any,,,,informational,300,inactive
uk-sc1-fw01-sec,app-mgt_access_in,extended,3,CHG0020856,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,app-mgt_access_in,extended,4,,permit,,,tcp,,app-mgt-network-24,,,,sccuxstnmg01,,,,DM_INLINE_TCP_42,,informational,300,active
uk-sc1-fw01-sec,app-mgt_access_in,extended,5,,permit,,,tcp,,sc1uxprcap45,,,,sc1uxprnap70,,,ssh,,,informational,300,active
uk-sc1-fw01-sec,app-mgt_access_in,extended,6,,permit,,,tcp,,sc1uxprcap46,,,,sc1uxprnap70,,,ssh,,,informational,300,active
uk-sc1-fw01-sec,app-mgt_access_in,extended,7,CHG0124318,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,app-mgt_access_in,extended,8,,permit,,,tcp,,,DM_INLINE_NETWORK_298,,,sc1uxprnap70,,,ssh,,,informational,300,active
uk-sc1-fw01-sec,app-mgt_access_in,extended,9,CHG0122003,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,app-mgt_access_in,extended,10,,permit,,SCC-NAS-Ports,,,app-mgt-network-24,,,,SCC-NAS-IP-Range,,,,,,informational,300,active
uk-sc1-fw01-sec,app-mgt_access_in,extended,11,CHG0126941,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,app-mgt_access_in,extended,12,,permit,,,tcp,,sc1wnprcapcn01,,,,,DM_INLINE_NETWORK_301,,,DM_INLINE_TCP_87,,informational,300,active
uk-sc1-fw01-sec,san-mgt_access_in,extended,1,CHG0115229,,,,,,,,,,,,,,,,,,
