Section,rule,display name,action,source,dest,service
pp3_nifi-data-access-nifi,0,pp3_activity-feeds-kafka,ALLOW,"10.195.77.22
10.195.77.23
10.195.77.24","10.215.98.187
10.215.98.188
10.215.98.30","TCP/19373"
pp3_nifi-data-access-nifi,1,pp3_msk-ports,ALLOW,"10.195.77.22
10.195.77.23
10.195.77.24","100.76.48.0/23
100.76.50.0/23
100.76.52.0/23","TCP/9094"
pp3_nifi-data-access-nifi,2,pp3_ob-rss-db-port,ALLOW,"10.195.77.22
10.195.77.23
10.195.77.24","10.1.29.213","TCP/1523"
pp3_nifi-data-access-nifi,3,pp3_mrg-sql,ALLOW,"10.195.77.22
10.195.77.23
10.195.77.24","10.40.220.203","TCP/1433"
pp3_nifi-data-access-nifi,4,pp3_mrg-sql,ALLOW,"10.40.220.202","10.195.77.22
10.195.77.23
10.195.77.24","TCP/1433"
pp3_nifi-data-access-nifi,5,pp3_https,ALLOW,"10.1.29.245
10.1.29.168
10.1.29.190
10.1.29.21
10.1.29.65","10.195.5.254
10.195.4.254","TCP/443"
pp3_nifi-data-access-nifi,6,pp3_https,ALLOW,"10.40.220.202","10.195.5.254
10.195.4.254","TCP/443"
pp3_nifi-data-access-nifi,7,pp3_uno-dpop-service,ALLOW,"10.195.5.254
10.195.4.254","255.255.255.255","TCP/22000"
pp3_nifi-data-access-nifi,8,pp3_mr-green-ports,ALLOW,"10.195.77.22
10.195.77.23
10.195.77.24","172.17.100.0/24
10.40.220.0/24
172.17.0.0/24","TCP/64016"
pp3_nifi-data-access-nifi,9,pp3_mr-green-ports,ALLOW,"172.17.100.0/24
10.40.220.0/24
172.17.0.0/24","10.195.77.22
10.195.77.23
10.195.77.24","TCP/64016"
pp3_nifi-data-access-nifi,10,pp3_https,ALLOW,"172.17.100.0/24
10.40.220.0/24
172.17.0.0/24","10.195.5.254
10.195.4.254","TCP/443"
pp3_nifi-data-access-nifi,11,pp3_https,ALLOW,"10.40.220.208","10.195.5.254
10.195.4.254","TCP/443"
pp3_nifi-data-access-nifi,12,pp3_pp-mssql,ALLOW,"10.195.77.22
10.195.77.23
10.195.77.24","255.255.255.255","TCP/1433"
pp3_nifi-data-access-nifi,13,pp3_pp-mssql,ALLOW,"10.195.77.22
10.195.77.23
10.195.77.24","172.17.161.21
172.17.100.29
172.17.100.80
172.17.161.25
10.1.92.24","TCP/1433"
pp3_nifi-data-access-nifi,14,pp3_scd_port,ALLOW,"10.195.67.30
10.195.67.29","100.76.48.0/23
100.76.50.0/23
100.76.52.0/23","TCP/5432"
pp3_nifi-data-access-nifi,15,pp3_job-scheduler-ports,ALLOW,"10.195.67.30
10.195.67.29","10.1.29.245","TCP/4445"
pp3_nifi-data-access-nifi,16,pp3_pp1-ob-rss-db-port,ALLOW,"100.76.48.0/23
100.76.50.0/23
100.76.52.0/23","255.255.255.255","TCP/1521"
pp3_nifi-data-access-nifi,17,pp3_dri_dst_ports,ALLOW,"255.255.255.255","10.195.77.11
10.195.77.12
10.195.77.15
10.195.77.13
10.195.77.14","TCP/16379"
pp3_nifi-data-access-nifi,18,pp3_pp-mssql,ALLOW,"255.255.255.255","255.255.255.255","TCP/1433"
pp3_nifi-data-access-nifi,19,pp3_prd-mssql,ALLOW,"255.255.255.255","255.255.255.255","TCP/23000"
pp3_nifi-data-access-nifi,20,pp3_pp-mssql,ALLOW,"10.195.77.22
10.195.77.23
10.195.77.24","255.255.255.255","TCP/1433"
pp3_nifi-data-access-nifi,21,pp3_pp1-ob-rss-db-port,ALLOW,"10.195.77.22
10.195.77.23
10.195.77.24","255.255.255.255","TCP/1521"
pp3_nifi-data-access-nifi,22,pp3_mrg-activity-flow-port,ALLOW,"10.20.20.153","10.195.77.22
10.195.77.23
10.195.77.24","TCP/9443"
pp3_nifi-data-access-nifi,23,pp3_mrg-sql,ALLOW,"10.195.77.22
10.195.77.23
10.195.77.24","10.20.20.153","TCP/1433"
pp3_nifi-data-access-nifi,24,pp3_https,ALLOW,"10.195.77.22
10.195.77.23
10.195.77.24","100.76.48.0/23
100.76.50.0/23
100.76.52.0/23","TCP/443"
pp3_nifi-data-access-nifi,25,pp3_dri_dst_ports,ALLOW,"10.1.29.245
10.1.29.168
10.1.29.190
10.1.29.21
10.1.29.65","10.195.77.11
10.195.77.12
10.195.77.15
10.195.77.13
10.195.77.14","TCP/16379"
NETAR-3999,5,New Rule,ALLOW,"10.156.5.32/27","10.112.46.30","ANY"
NETAR-3999,7,New Rule,ALLOW,"10.156.3.128/25","10.156.5.32/27","ANY"
NETAR-3999,10,New Rule,ALLOW,"10.156.5.32/27","10.156.3.128/25","ANY"
pp1_clp-CLP,0,pp1_puppet-client,ALLOW,"10.220.163.0/24
10.120.163.0/24
10.210.163.0/24
10.112.12.0/24
10.180.163.0/24","10.191.10.12
10.191.10.80
10.191.10.70","TCP/8140"
pp1_clp-CLP,1,pp1_https,ALLOW,"192.168.48.0/20
10.53.0.0/24
10.17.100.0/24
192.168.2.0/23
10.180.18.0/23
10.18.10.0/24
10.180.20.0/23
192.168.200.0/23
10.1.74.0/24
10.17.144.0/23
192.168.12.0/22
10.53.32.0/23
10.1.82.0/23
10.1.112.0/23
10.18.23.64/26
10.1.86.0/23
10.1.58.0/23
192.168.16.0/22
192.168.0.0/21
10.18.2.0/23
10.17.8.0/24
10.1.22.0/24
10.3.60.0/24
10.51.48.0/22
10.18.24.160/27","10.241.4.150
10.121.4.150","TCP/443"
pp1_clp-CLP,2,pp1_clp-splunk-core-services,ALLOW,"10.191.10.0/24","10.191.10.0/24","TCP/9887"
pp1_clp-CLP,3,pp1_clp-splunk-core-services,ALLOW,"10.220.163.0/24
10.120.163.0/24
10.210.163.0/24
10.112.12.0/24
10.180.163.0/24","10.191.10.0/24","TCP/9887"
pp1_clp-CLP,4,pp1_clp-splunk-ingress,ALLOW,"10.191.0.0/16","10.191.10.0/24","TCP/8088"
pp1_clp-CLP,5,pp1_splunk-server-api,ALLOW,"10.191.10.0/24","10.220.163.0/24
10.120.163.0/24
10.210.163.0/24
10.112.12.0/24
10.180.163.0/24","TCP/8089"
pp1_clp-CLP,6,pp1_splunk-http-event-collector,ALLOW,"10.191.0.0/16","10.191.5.84","TCP/8088"
pp1_clp-CLP,7,pp1_ssh,ALLOW,"10.120.163.46
10.210.163.12","10.191.10.0/24","TCP/22"
pp1_clp-CLP,8,pp1_ssh,ALLOW,"10.120.163.46
10.210.163.12","10.201.230.17","TCP/22"
pp1_clp-CLP,9,pp1_web,ALLOW,"10.121.4.0/24
10.241.4.0/24","10.120.163.46
10.210.163.12","TCP/443"
pp1_clp-CLP,10,pp1_splunk-http-event-collector,ALLOW,"10.212.216.0/24","10.191.10.0/24","TCP/8088"
pp1_clp-CLP,11,pp1_splunk-http-event-collector,ALLOW,"10.212.0.0/16
10.211.0.0/16
10.210.0.0/16","10.191.5.84","TCP/8088"
pp1_clp-CLP,12,pp1_splunk-server-api,ALLOW,"10.212.0.0/16
10.211.0.0/16
10.210.0.0/16","10.191.5.84","TCP/8089"
pp1_clp-CLP,13,pp1_splunk-server-api,ALLOW,"10.191.0.0/16","10.191.5.84","TCP/8089"
pp1_clp-CLP,14,pp1_splunk-server-api-plus-https,ALLOW,"10.191.10.0/24","100.99.0.0/20
100.100.2.0/23
100.99.32.0/20","TCP/443"
pp1_clp-CLP,15,pp1_clp-splunk-core-services,ALLOW,"10.191.10.0/24","100.79.162.0/23
100.79.130.0/23","TCP/9887"
pp1_clp-CLP,16,pp1_splunk-http-event-collector,ALLOW,"10.61.12.0/24
10.1.82.64/27
192.168.3.212/30
192.168.3.224/27
10.211.99.0/24
192.168.3.216/29","10.191.5.84","TCP/8088"
pp1_clp-CLP,17,pp1_splunk-http-event-collector,ALLOW,"192.168.16.210
192.168.16.209
192.168.16.211","10.191.5.84","TCP/8088"
pp1_clp-CLP,18,pp1_splunk-http-event-collector,ALLOW,"100.79.0.0/17","10.191.5.84","TCP/8088"
pp1_clp-CLP,19,pp1_splunk-http-event-collector,ALLOW,"10.94.0.0/16
10.96.0.0/16
10.93.0.0/16
10.93.137.160/28
10.162.0.0/16
10.161.0.0/16
10.93.137.96/28","10.191.5.84","TCP/8088"
pp1_clp-CLP,20,pp1_splunk-http-event-collector,ALLOW,"192.168.48.0/20
10.53.0.0/24
10.17.100.0/24
192.168.2.0/23
10.180.18.0/23
10.18.10.0/24
10.180.20.0/23
192.168.200.0/23
10.1.74.0/24
10.17.144.0/23
192.168.12.0/22
10.53.32.0/23
10.1.82.0/23
10.1.112.0/23
10.18.23.64/26
10.1.86.0/23
10.1.58.0/23
192.168.16.0/22
192.168.0.0/21
10.18.2.0/23
10.17.8.0/24
10.1.22.0/24
10.3.60.0/24
10.51.48.0/22
10.18.24.160/27","10.191.5.84","TCP/8088"
pp1_clp-CLP,21,pp1_splunk-http-event-collector,ALLOW,"10.95.0.0/16","10.191.5.84","TCP/8088"
pp1_clp-CLP,22,pp1_syslog-TCP,ALLOW,"10.201.226.245","10.191.10.21
10.191.10.22","TCP/514"
pp1_clp-CLP,23,pp1_splunk-fwd,ALLOW,"10.162.0.0/16","10.191.10.21
10.191.10.22","TCP/9997"
pp1_clp-CLP,24,pp1_clp_aws_ingress,ALLOW,"10.0.0.0/8","100.74.48.0/20
100.72.96.0/20
100.76.0.0/20","TCP/8089"
pp2_clp-CLP,0,pp2_puppet-client,ALLOW,"10.220.163.0/24
10.120.163.0/24
10.210.163.0/24
10.112.12.0/24
10.180.163.0/24","10.193.10.70
10.193.10.80
10.193.10.14","TCP/8140"
pp2_clp-CLP,1,pp2_https,ALLOW,"192.168.48.0/20
10.53.0.0/24
10.17.100.0/24
192.168.2.0/23
10.180.18.0/23
10.18.10.0/24
10.180.20.0/23
192.168.200.0/23
10.1.74.0/24
10.17.144.0/23
192.168.12.0/22
10.53.32.0/23
10.1.82.0/23
10.1.112.0/23
10.18.23.64/26
10.1.86.0/23
10.1.58.0/23
192.168.16.0/22
192.168.0.0/21
10.18.2.0/23
10.17.8.0/24
10.1.22.0/24
10.3.60.0/24
10.51.48.0/22
10.18.24.160/27","10.241.4.150
10.121.4.150","TCP/443"
pp2_clp-CLP,2,pp2_clp-splunk-core-services,ALLOW,"10.193.10.0/24","10.193.10.0/24","TCP/9996"
pp2_clp-CLP,3,pp2_clp-splunk-core-services,ALLOW,"10.220.163.0/24
10.120.163.0/24
10.210.163.0/24
10.112.12.0/24
10.180.163.0/24","10.193.10.0/24","TCP/9996"
pp2_clp-CLP,4,pp2_clp-splunk-ingress,ALLOW,"10.193.0.0/16","10.193.10.0/24","UDP/514"
pp2_clp-CLP,5,pp2_splunk-server-api,ALLOW,"10.193.10.0/24","10.220.163.0/24
10.120.163.0/24
10.210.163.0/24
10.112.12.0/24
10.180.163.0/24","TCP/8089"
pp2_clp-CLP,6,pp2_splunk-http-event-collector,ALLOW,"10.193.0.0/16","10.193.5.84","TCP/8088"
pp2_clp-CLP,7,pp2_ssh,ALLOW,"10.120.163.46
10.210.163.12","10.193.10.0/24","TCP/22"
pp2_clp-CLP,8,pp2_ssh,ALLOW,"10.120.163.46
10.210.163.12","10.201.230.17","TCP/22"
pp2_clp-CLP,9,pp2_web,ALLOW,"10.121.4.0/24
10.241.4.0/24","10.120.163.46
10.210.163.12","TCP/8000"
pp2_clp-CLP,10,pp2_splunk-http-event-collector,ALLOW,"10.214.216.0/24","10.193.10.0/24","TCP/8088"
pp2_clp-CLP,11,pp2_splunk-http-event-collector,ALLOW,"10.214.0.0/16
10.213.0.0/16
10.210.0.0/16","10.193.5.84","TCP/8088"
pp2_clp-CLP,12,pp2_splunk-server-api,ALLOW,"10.214.0.0/16
10.213.0.0/16
10.210.0.0/16","10.193.5.84","TCP/8089"
pp2_clp-CLP,13,pp2_splunk-server-api,ALLOW,"10.193.0.0/16","10.193.5.84","TCP/8089"
pp2_clp-CLP,14,pp2_splunk-server-api-plus-https,ALLOW,"10.193.10.0/24","100.99.0.0/20
100.100.2.0/23
100.99.32.0/20","TCP/443"
pp2_clp-CLP,15,pp2_clp-splunk-core-services,ALLOW,"10.193.10.0/24","100.79.162.0/23
100.79.130.0/23","TCP/9996"
