Section,rule,display name,action,source,dest,service
Intra Segment,0,10.130.55.0S24,ALLOW,"10.130.55.0/24","10.130.55.0/24","ANY"
Intra Segment,1,10.130.90.0S24,ALLOW,"10.130.90.0/24","10.130.90.0/24","ANY"
Intra Segment,2,10.130.91.0S24,ALLOW,"10.130.91.0/24","10.130.91.0/24","ANY"
Intra Segment,3,10.130.100.0S24,ALLOW,"10.130.100.0/24","10.130.100.0/24","ANY"
Intra Segment,4,172.17.100.0S24,ALLOW,"172.17.100.0/24","172.17.100.0/24","ANY"
Intra Segment,5,172.17.105.0S24,ALLOW,"172.17.105.0/24","172.17.105.0/24","ANY"
Intra Segment,6,172.17.110.0S24,ALLOW,"172.17.110.0/24","172.17.110.0/24","ANY"
Intra Segment,7,172.17.111.0S24,ALLOW,"172.17.111.0/24","172.17.111.0/24","ANY"
Intra Segment,8,172.17.112.0S24,ALLOW,"172.17.112.0/24","172.17.112.0/24","ANY"
Intra Segment,9,172.17.121.0S24,ALLOW,"172.17.121.0/24","172.17.121.0/24","ANY"
Intra Segment,10,172.17.122.0S24,ALLOW,"172.17.122.0/24","172.17.122.0/24","ANY"
Intra Segment,11,172.17.123.0S24,ALLOW,"172.17.123.0/24","172.17.123.0/24","ANY"
Intra Segment,12,172.17.124.0S24,ALLOW,"172.17.124.0/24","172.17.124.0/24","ANY"
Intra Segment,13,172.17.125.0S24,ALLOW,"172.17.125.0/24","172.17.125.0/24","ANY"
Intra Segment,14,172.17.130.0S24,ALLOW,"172.17.130.0/24","172.17.130.0/24","ANY"
Intra Segment,15,172.17.150.0S24,ALLOW,"172.17.150.0/24","172.17.150.0/24","ANY"
Intra Segment,16,172.17.160.0S24,ALLOW,"172.17.160.0/24","172.17.160.0/24","ANY"
Intra Segment,17,172.17.161.0S24,ALLOW,"172.17.161.0/24","172.17.161.0/24","ANY"
Intra Segment,18,172.17.190.0S24,ALLOW,"172.17.190.0/24","172.17.190.0/24","ANY"
Intra Segment,19,172.17.162.0S24,ALLOW,"172.17.162.0/24","172.17.162.0/24","ANY"
Intra Segment,20,172.17.200.0S24,ALLOW,"172.17.200.0/24","172.17.200.0/24","ANY"
Intra Segment,21,172.17.211.0S24,ALLOW,"172.17.211.0/24","172.17.211.0/24","ANY"
Intra Segment,22,10.130.220.0S24,ALLOW,"10.130.220.0/24","10.130.220.0/24","ANY"
Intra Segment,23,10.130.221.0S24,ALLOW,"10.130.221.0/24","10.130.221.0/24","ANY"
Intra Segment,24,10.130.46.0S24,ALLOW,"10.130.46.0/24","10.130.46.0/24","ANY"
Temp,10,NETAR-2530,ALLOW,"10.195.77.22
10.195.77.23
10.195.77.24","172.17.100.80","TCP/1433"
Temp,20,MRGITOPS-4381,ALLOW,"192.168.48.0/20
192.168.12.0/22
192.168.16.0/22
192.168.0.0/21","172.17.100.140","TCP/1080"
Temp,30,NETAR-2454,ALLOW,"100.78.144.0/20
100.78.128.0/20","172.17.161.21","TCP/1433"
Temp,40,NETAR-2207,ALLOW,"172.17.200.9","100.73.244.41","TCP/55000"
Temp,50,MRGITOPS-4228,ALLOW,"100.76.80.0/20","172.17.100.97","TCP/443"
Temp,60,NETAR-2134,ALLOW,"192.168.48.0/20
192.168.12.0/22
192.168.16.0/22
192.168.0.0/21","172.17.0.0/16
10.130.0.0/16","ANY"
Temp,70,MRGITOPS-4158,ALLOW,"10.130.220.0/24","10.10.55.0/24","TCP/9996"
Temp,80,MRGITOPS-4059,ALLOW,"172.17.0.0/16
10.130.0.0/16","100.73.240.0/20","TCP/1514"
Temp,90,MRGITOPS-3999,ALLOW,"172.17.105.31","100.76.48.0/20","TCP/443"
Temp,100,MRGITOPS-3831,ALLOW,"172.17.110.104
172.17.110.203
172.17.110.103
172.17.110.204
172.17.110.100
172.17.110.102
172.17.110.101","ANY","TCP/33001"
Temp,110,MRGITOPS-3996,ALLOW,"172.17.100.142
172.17.100.143","100.76.48.0/20","TCP/9094"
Temp,120,MRGITOPS-3991,ALLOW,"172.17.105.142","172.17.100.190","TCP/5672
TCP/5671"
Temp,130,MRGITOPS-3914,ALLOW,"10.195.77.22
10.195.77.23
10.195.77.24","172.17.161.21","TCP/1433"
Temp,140,NETAR-1543,ALLOW,"172.17.110.104
172.17.110.203
172.17.110.103
172.17.110.204
172.17.110.100
172.17.110.102
172.17.110.101","172.17.105.34","TCP/5672"
Temp,150,MRGITOPS-3854,ALLOW,"172.17.105.30
172.17.100.96","100.76.53.151
100.76.50.108
100.76.49.162","TCP/80
TCP/443"
Temp,160,NETAR-1020,ALLOW,"10.193.77.24
10.193.77.22
10.193.77.23
10.195.77.22
10.195.77.23
10.191.77.20
10.191.77.23
10.195.77.24
10.191.77.24","172.17.100.29","TCP/1433"
Temp,170,MRGITOPS-3453,ALLOW,"100.76.48.0/20","172.17.100.29","TCP/1433"
Temp,180,MRGITOPS-3365,ALLOW,"172.17.110.104
172.17.110.203
172.17.110.103
172.17.110.204
172.17.110.100
172.17.110.102
172.17.110.101","172.17.105.35","TCP/1433"
Temp,190,MRGITOPS-3372,ALLOW,"172.17.0.0/16
10.130.0.0/16","10.130.46.0/24","TCP/8400
TCP/8401
TCP/8402
TCP/8403"
Temp,200,MRGITOPS-3372,ALLOW,"10.130.46.0/24","172.17.0.0/16
10.130.0.0/16","TCP/8400
TCP/8401
TCP/8402
TCP/8403"
Temp,210,MRGITOPS-2958,ALLOW,"172.17.150.30","172.17.123.4","TCP/22"
Temp,220,MRGITOPS-2834,ALLOW,"10.130.46.0/24","10.126.210.0/24","TCP/902"
Temp,230,MRGITOPS-2839,ALLOW,"172.17.110.104
172.17.110.203
172.17.110.103
172.17.110.204
172.17.110.100
172.17.110.102
172.17.110.101","10.10.11.0/24","TCP/22"
Temp,240,MRGITOPS-2722,ALLOW,"172.17.110.104
172.17.110.203
172.17.110.103
172.17.110.204
172.17.110.100
172.17.110.102
172.17.110.101","10.10.11.141","TCP/22"
Temp,250,MRGITOPS-2585,ALLOW,"172.17.110.104
172.17.110.203
172.17.110.103
172.17.110.204
172.17.110.100
172.17.110.102
172.17.110.101","172.17.100.0/24","TCP/22"
Temp,260,MRGIC-366,ALLOW,"172.17.200.171","10.1.178.29
10.1.182.20
10.1.182.30
10.1.181.10
10.1.182.10
10.1.178.20","TCP/443"
Temp,270,MRGITOPS-2424,ALLOW,"10.130.46.0/24","10.126.210.0/24","TCP/8400
TCP/8401
TCP/8402
TCP/8403"
