hostname,acl-name,acl-type,seq number,action,protocol,source,destination,ports
GH_WGS_4TH,solarwinds-new,Standard,10,permit,,10.112.12.126,,,
GH_WGS_4TH,solarwinds-new,Standard,20,permit,,10.112.12.125,,,
GH_WGS_4TH,solarwinds-new,Standard,30,permit,,10.120.163.143,,,
GH_WGS_4TH,solarwinds-new,Standard,40,permit,,10.120.163.142,,,
GH_WGS_4TH,solarwinds-new,Standard,50,permit,,10.120.163.123,,,
GH_WGS_4TH,solarwinds-new,Standard,60,permit,,10.120.163.122,,,
GH_WGS_4TH,solarwinds-new,Standard,70,permit,,10.112.12.144,,,
GH_WGS_4TH,solarwinds-new,Standard,80,permit,,10.112.12.142,,,
GH_WGS_4TH,solarwinds-new,Standard,90,permit,,10.112.12.143,,,
GH_WGS_4TH,solarwinds-new,Standard,100,deny,,any log,,,
GH_WGS_4TH,1,Standard,10,permit,,10.120.163.210,,,
GH_WGS_4TH,1,Standard,20,permit,,10.1.74.66,,,
GH_WGS_4TH,1,Standard,30,permit,,10.112.12.126,,,
GH_WGS_4TH,1,Standard,40,permit,,10.112.12.125,,,
GH_WGS_4TH,1,Standard,50,permit,,10.180.163.18,,,
GH_WGS_4TH,1,Standard,60,permit,,10.120.163.151,,,
GH_WGS_4TH,1,Standard,70,permit,,10.210.163.60,,,
GH_WGS_4TH,1,Standard,80,permit,,10.120.163.152,,,
GH_WGS_4TH,1,Standard,90,permit,,10.1.74.29,,,
GH_WGS_4TH,1,Standard,100,permit,,10.120.163.143,,,
GH_WGS_4TH,1,Standard,110,permit,,10.120.163.142,,,
GH_WGS_4TH,1,Standard,120,permit,,10.112.13.17,,,
GH_WGS_4TH,1,Standard,130,permit,,10.1.74.48,,,
GH_WGS_4TH,1,Standard,140,permit,,10.1.74.57,,,
GH_WGS_4TH,1,Standard,150,permit,,10.1.74.61,,,
GH_WGS_4TH,1,Standard,160,permit,,10.120.163.123,,,
GH_WGS_4TH,1,Standard,170,permit,,10.120.163.122,,,
GH_WGS_4TH,1,Standard,180,permit,,10.120.195.31,,,
GH_WGS_4TH,1,Standard,190,permit,,10.120.143.70,,,
GH_WGS_4TH,1,Standard,200,permit,,10.1.74.128,,,
GH_WGS_4TH,1,Standard,210,permit,,10.180.142.230,,,
GH_WGS_4TH,1,Standard,220,permit,,10.112.12.144,,,
GH_WGS_4TH,1,Standard,230,permit,,10.120.163.37,,,
GH_WGS_4TH,1,Standard,240,permit,,10.112.12.142,,,
GH_WGS_4TH,1,Standard,250,permit,,10.112.12.143,,,
GH_WGS_4TH,1,Standard,260,permit,,10.1.82.64 0.0.0.31,,,
GH_WGS_4TH,1,Standard,270,permit,,10.1.22.0 0.0.0.255,,,
GH_WGS_4TH,1,Standard,280,permit,,192.168.2.0 0.0.1.255,,,
GH_WGS_4TH,1,Standard,290,permit,,10.210.141.40 0.0.0.7,,,
GH_WGS_4TH,1,Standard,300,permit,,10.180.141.40 0.0.0.7,,,
GH_WGS_4TH,1,Standard,310,permit,,10.120.141.40 0.0.0.7,,,
GH_WGS_4TH,1,Standard,320,permit,,100.79.0.0 0.0.127.255,,,
GH_WGS_4TH,1,Standard,330,deny,,any log,,,
GH_WGS_4TH,10,Standard,60,permit,,10.112.12.126,,,
GH_WGS_4TH,10,Standard,50,permit,,10.112.12.125,,,
GH_WGS_4TH,10,Standard,40,permit,,10.120.163.123,,,
GH_WGS_4TH,10,Standard,30,permit,,10.120.163.122,,,
GH_WGS_4TH,10,Standard,10,permit,,10.120.163.59,,,
GH_WGS_4TH,10,Standard,20,permit,,10.110.163.59,,,
GH_WGS_4TH,11,Standard,14,permit,,10.112.12.126,,,
GH_WGS_4TH,11,Standard,13,permit,,10.112.12.125,,,
GH_WGS_4TH,11,Standard,10,permit,,10.120.136.140,,,
GH_WGS_4TH,11,Standard,12,permit,,10.120.163.123,,,
GH_WGS_4TH,11,Standard,11,permit,,10.120.163.122,,,
GH_WGS_4TH,11,Standard,20,permit,,10.50.3.140,,,
GH_WGS_4TH,11,Standard,30,deny,,any log,,,
GH_WGS_4TH,13,Standard,10,permit,,10.1.28.38,,,
GH_WGS_4TH,13,Standard,20,permit,,192.168.1.165,,,
GH_WGS_4TH,19,Standard,10,permit,,172.16.41.192 0.0.0.31,,,
GH_WGS_4TH,19,Standard,20,permit,,10.1.82.64 0.0.0.31,,,
GH_WGS_4TH,22,Standard,10,permit,,10.112.12.119,,,
GH_WGS_4TH,22,Standard,20,permit,,10.210.143.80,,,
GH_WGS_4TH,22,Standard,30,permit,,10.120.143.80,,,
GH_WGS_4TH,22,Standard,40,permit,,10.180.142.232,,,
