hostname,name,type,seq number,remark,action,src_service_obj,src_service_obj_grp,protocol,src_host,src_network_obj,src_network_obj_grp,src_network,dest_host,dest_network_obj,dest_network_obj_grp,dest_network,dest_port,dest_port_obj_grp,dest_port_range,logging_level,logging_interval,status
uk-sc1-fw01-sec,group-vrf_access_in,extended,1,,permit,,,ip,,,,any4,,,,any4,,,,informational,300,active
uk-sc1-fw01-sec,group-vrf_access_in,extended,2,BCP Rule - Do Not Remove, CHG0138043,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,1,CHG0115229,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,2,,deny,,,ip,,,Corp-WiFi-Subnets,,,,,any,,,,informational,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,3,CHG0034224, CHG0139968,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,4,CHG0142875,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,5,,permit,,,tcp,,,aws_prd_central_product,,,svc-int-lb-mars-backofficeadmin.sc1,,,https,,,,,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,6,CHG0141674,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,7,,permit,,,tcp,,,aws-trading-prod-vpc,,,trading-db.prod.williamhill.plc,,,1523,,,informational,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,8,See Mike Dawson,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,9,,permit,,MS_filesharing_ports,,,,DM_INLINE_NETWORK_433,,,SC1WNPRNAP002,,,,,,informational,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,10,,permit,,,ip,,scc-nessus,,,,,,any4,,,,informational,300,active
uk-sc1-fw01-sec,internal-vrf_access_in,extended,11,CHG0137525,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,internal-vrf_access_in,extended,12,CHG0138490,,,,,,,,,,,,,,,,,,
