hostname,acl-name,acl-type,seq number,action,protocol,source,destination,ports
uk-wak-ar01,ca-nfa,Standard,10,permit,,10.120.163.71,,,
uk-wak-ar01,cacti,Standard,10,permit,,10.120.163.210,,,
uk-wak-ar01,cacti,Standard,20,permit,,10.120.163.59,,,
uk-wak-ar01,cacti,Standard,30,deny,,any log,,,
uk-wak-ar01,ncs,Standard,10,permit,,10.120.136.140,,,
uk-wak-ar01,ncs,Standard,20,permit,,10.120.136.141,,,
uk-wak-ar01,ncs,Standard,30,deny,,any log,,,
uk-wak-ar01,solarwinds,Standard,14,permit,,10.112.12.126,,,
uk-wak-ar01,solarwinds,Standard,13,permit,,10.112.12.125,,,
uk-wak-ar01,solarwinds,Standard,10,permit,,10.120.163.206,,,
uk-wak-ar01,solarwinds,Standard,11,permit,,10.120.163.123,,,
uk-wak-ar01,solarwinds,Standard,12,permit,,10.120.163.122,,,
uk-wak-ar01,solarwinds,Standard,20,deny,,any log,,,
uk-wak-ar01,solarwinds-new,Standard,10,permit,,10.112.12.126,,,
uk-wak-ar01,solarwinds-new,Standard,20,permit,,10.112.12.125,,,
uk-wak-ar01,solarwinds-new,Standard,30,permit,,10.120.163.143,,,
uk-wak-ar01,solarwinds-new,Standard,40,permit,,10.120.163.142,,,
uk-wak-ar01,solarwinds-new,Standard,50,permit,,10.120.163.123,,,
uk-wak-ar01,solarwinds-new,Standard,60,permit,,10.120.163.122,,,
uk-wak-ar01,solarwinds-new,Standard,70,permit,,10.112.12.144,,,
uk-wak-ar01,solarwinds-new,Standard,80,permit,,10.112.12.142,,,
uk-wak-ar01,solarwinds-new,Standard,90,permit,,10.112.12.143,,,
uk-wak-ar01,solarwinds-new,Standard,100,deny,,any log,,,
uk-wak-ar01,management,Extended,10,permit,ip,host 10.1.74.57,any,
uk-wak-ar01,management,Extended,20,permit,ip,host 10.1.74.61,any,
uk-wak-ar01,management,Extended,30,permit,ip,10.1.22.0 0.0.0.255,any,
uk-wak-ar01,management,Extended,40,permit,ip,10.1.82.64 0.0.0.31,any,
uk-wak-ar01,management,Extended,50,permit,ip,10.1.82.160 0.0.0.31,any,
uk-wak-ar01,management,Extended,60,permit,ip,172.16.41.208 0.0.0.7,any,
uk-wak-ar01,management,Extended,70,permit,ip,172.16.64.208 0.0.0.7,any,
uk-wak-ar01,management,Extended,80,permit,ip,192.168.2.0 0.0.1.255,any,
uk-wak-ar01,management,Extended,90,permit,ip,host 10.120.163.210,any,
uk-wak-ar01,management,Extended,100,permit,ip,host 10.120.143.70,any,
uk-wak-ar01,management,Extended,110,permit,ip,host 10.120.163.151,any,
uk-wak-ar01,management,Extended,120,permit,ip,host 10.120.163.152,any,
uk-wak-ar01,management,Extended,130,permit,ip,host 10.120.163.122,any,
uk-wak-ar01,management,Extended,140,permit,ip,host 10.120.163.123,any,
uk-wak-ar01,management,Extended,150,permit,ip,host 10.112.12.125,any,
uk-wak-ar01,management,Extended,160,permit,ip,host 10.112.12.126,any,
uk-wak-ar01,management,Extended,170,permit,ip,host 10.120.163.142,any,
