hostname,acl-name,acl-type,seq number,action,protocol,source,destination,ports
uk-brs-cs01,solarwinds-new,Standard,10,permit,,10.112.12.126,,,
uk-brs-cs01,solarwinds-new,Standard,20,permit,,10.112.12.125,,,
uk-brs-cs01,solarwinds-new,Standard,30,permit,,10.120.163.143,,,
uk-brs-cs01,solarwinds-new,Standard,40,permit,,10.120.163.142,,,
uk-brs-cs01,solarwinds-new,Standard,50,permit,,10.120.163.123,,,
uk-brs-cs01,solarwinds-new,Standard,60,permit,,10.120.163.122,,,
uk-brs-cs01,solarwinds-new,Standard,70,permit,,10.112.12.144,,,
uk-brs-cs01,solarwinds-new,Standard,80,permit,,10.112.12.142,,,
uk-brs-cs01,solarwinds-new,Standard,90,permit,,10.112.12.143,,,
uk-brs-cs01,solarwinds-new,Standard,100,deny,,any log,,,
uk-brs-cs01,WH-protect,Extended,10,permit,ip,0.0.0.0 255.255.252.0,any,
uk-brs-cs01,WH-protect,Extended,20,permit,ip,0.0.0.0 255.255.255.192,any,
uk-brs-cs01,WH-protect,Extended,30,permit,tcp,any,any established,
uk-brs-cs01,WH-protect,Extended,40,permit,udp,any,host 10.17.5.204,domain
uk-brs-cs01,WH-protect,Extended,50,permit,udp,any,host 10.17.2.11,domain
uk-brs-cs01,acl-vlan408-in,Extended,5,permit,icmp,any,any,
uk-brs-cs01,acl-vlan408-in,Extended,10,permit,tcp,10.210.165.0 0.0.0.31,any established,
uk-brs-cs01,acl-vlan408-in,Extended,20,deny,ip,any,any,
uk-brs-cs01,acl-vlan408-out,Extended,5,permit,icmp,any,any,
uk-brs-cs01,acl-vlan408-out,Extended,10,permit,udp,any,0.165.0 0.0.0.31,syslog
uk-brs-cs01,acl-vlan408-out,Extended,20,permit,tcp,any,0.165.0 0.0.0.31,cmd
uk-brs-cs01,acl-vlan408-out,Extended,30,deny,ip,any,0.165.0 0.0.0.31,
uk-brs-cs01,1,Standard,10,permit,,10.120.163.210,,,
uk-brs-cs01,1,Standard,20,permit,,10.1.74.66,,,
uk-brs-cs01,1,Standard,30,permit,,10.112.12.126,,,
uk-brs-cs01,1,Standard,40,permit,,10.112.12.125,,,
uk-brs-cs01,1,Standard,50,permit,,10.180.163.18,,,
uk-brs-cs01,1,Standard,60,permit,,10.120.163.151,,,
uk-brs-cs01,1,Standard,70,permit,,10.210.163.60,,,
uk-brs-cs01,1,Standard,80,permit,,10.120.163.152,,,
uk-brs-cs01,1,Standard,90,permit,,10.1.74.29,,,
uk-brs-cs01,1,Standard,100,permit,,10.120.163.143,,,
uk-brs-cs01,1,Standard,110,permit,,10.120.163.142,,,
uk-brs-cs01,1,Standard,120,permit,,10.112.13.17,,,
uk-brs-cs01,1,Standard,130,permit,,10.1.74.48,,,
uk-brs-cs01,1,Standard,140,permit,,10.1.58.70,,,
uk-brs-cs01,1,Standard,150,permit,,10.1.74.57,,,
uk-brs-cs01,1,Standard,160,permit,,10.1.74.61,,,
uk-brs-cs01,1,Standard,170,permit,,10.120.163.123,,,
uk-brs-cs01,1,Standard,180,permit,,10.120.163.122,,,
uk-brs-cs01,1,Standard,190,permit,,10.120.195.31,,,
uk-brs-cs01,1,Standard,200,permit,,10.120.143.70,,,
uk-brs-cs01,1,Standard,210,permit,,10.1.74.128,,,
uk-brs-cs01,1,Standard,220,permit,,10.180.142.230,,,
uk-brs-cs01,1,Standard,230,permit,,10.112.12.144,,,
uk-brs-cs01,1,Standard,240,permit,,10.120.163.37,,,
uk-brs-cs01,1,Standard,250,permit,,10.112.12.142,,,
uk-brs-cs01,1,Standard,260,permit,,10.112.12.143,,,
uk-brs-cs01,1,Standard,270,permit,,10.1.82.64 0.0.0.31,,,
uk-brs-cs01,1,Standard,280,permit,,10.1.22.0 0.0.0.255,,,
uk-brs-cs01,1,Standard,290,permit,,192.168.2.0 0.0.1.255,,,
uk-brs-cs01,1,Standard,300,permit,,10.210.141.40 0.0.0.7,,,
uk-brs-cs01,1,Standard,310,permit,,10.180.141.40 0.0.0.7,,,
uk-brs-cs01,1,Standard,320,permit,,10.120.141.40 0.0.0.7,,,
uk-brs-cs01,1,Standard,330,permit,,100.79.0.0 0.0.127.255,,,
uk-brs-cs01,1,Standard,340,deny,,any log,,,
uk-brs-cs01,10,Standard,10,permit,,10.120.163.210,,,
uk-brs-cs01,10,Standard,70,permit,,10.112.12.126,,,
uk-brs-cs01,10,Standard,60,permit,,10.112.12.125,,,
uk-brs-cs01,10,Standard,50,permit,,10.120.163.123,,,
uk-brs-cs01,10,Standard,40,permit,,10.120.163.122,,,
uk-brs-cs01,10,Standard,20,permit,,10.120.163.59,,,
uk-brs-cs01,10,Standard,30,permit,,10.110.163.59,,,
uk-brs-cs01,11,Standard,14,permit,,10.112.12.126,,,
uk-brs-cs01,11,Standard,13,permit,,10.112.12.125,,,
uk-brs-cs01,11,Standard,10,permit,,10.120.136.140,,,
uk-brs-cs01,11,Standard,12,permit,,10.120.163.123,,,
uk-brs-cs01,11,Standard,11,permit,,10.120.163.122,,,
uk-brs-cs01,11,Standard,20,permit,,10.50.3.140,,,
uk-brs-cs01,11,Standard,30,deny,,any log,,,
uk-brs-cs01,22,Standard,10,permit,,10.112.12.119,,,
uk-brs-cs01,22,Standard,40,permit,,10.210.143.80,,,
uk-brs-cs01,22,Standard,30,permit,,10.120.143.80,,,
uk-brs-cs01,22,Standard,20,permit,,10.180.142.232,,,
